Ligand#,distance_pi_bond_1,distance_pi_bond_2,dihedral_angle_1,dihedral_angle_2,NE_quad,NW_quad,SW_quad,SE_quad,"+,+,+_octant","-,+,+_octant","-,-,+_octant","+,-,+_octant","+,-,-_octant","-,-,-_octant","-,+,-_octant","+,+,-_octant",bite_angle,cone_angle,distance_Rh_max_donor_gaussian,distance_Rh_min_donor_gaussian,buried_volume_Rh_3.5A,buried_volume_donor_max,buried_volume_donor_min,buried_volume_Rh_4A,buried_volume_Rh_5A,buried_volume_Rh_6A,buried_volume_Rh_7A,dispersion_p_int_Rh_gfn2_xtb,dispersion_p_int_donor_max_gfn2_xtb,dispersion_p_int_donor_min_gfn2_xtb,sasa_gfn2_xtb,ip_gfn2_xtb,dipole_gfn2_xtb,ea_gfn2_xtb,electrofugality_gfn2_xtb,nucleofugality_gfn2_xtb,nucleophilicity_gfn2_xtb,electrophilicity_gfn2_xtb,HOMO_LUMO_gap_gfn2_xtb,sum_electronic_and_free_energy_dft,sum_electronic_and_enthalpy_dft,zero_point_correction_dft,entropy_dft,dipole_moment_dft,lone_pair_occupancy_min_donor_dft,lone_pair_occupancy_max_donor_dft,dispersion_energy_dft,nbo_charge_Rh_dft,nbo_charge_min_donor_dft,nbo_charge_max_donor_dft,mulliken_charge_Rh_dft,mulliken_charge_min_donor_dft,mulliken_charge_max_donor_dft,homo_energy_dft,lumo_energy_dft,homo_lumo_gap_dft,hardness_dft,softness_dft,electronegativity_dft,electrophilicity_dft,min_NBO_donor,max_NBO_donor,min_bv_donor,max_bv_donor,Rh_donor_min_d,Rh_donor_max_d,std_quad,min_quad,max_quad,std_oct,min_oct,max_oct,ratio_std_oct_std_quad,ratio_min_oct_min_quad,lone_pair_occ_min,lone_pair_occ_max,bite_angle_rad,bite_angle_sin,bite_angle_cos,cone_angle_rad,cone_angle_sin,cone_angle_cos
L73,1.383568926,1.405779869,-7.644242967,14.89430347,0.481503914,0.607691949,0.363073053,0.445373649,0.069511741,0.301434961,0.078829668,0.038203504,0.893496086,0.913948938,0.81191763,0.687942602,87.46730025,212.5701669,2.279160656,2.107699012,0.474445583,0.859654538,0.837338101,0.4714442,0.44069684,0.365023357,0.266426339,46.23590117,57.81157498,47.09275108,657.422778,3.183816438,1.62076312,4.598552383,3.497923051,0.56155423,-3.183816438,0.314106613,0.086868609,-1705.417708,-1705.322786,0.590555,0.00031837,4.839365918,1.3033,1.12082,-2.9179215,-0.04277,-0.53555,1.07849,-0.32764,-0.366596,0.387915,-6.548419812,-1.882211504,4.666208308,2.333104154,0.428613527,4.215315658,3.807992469,-0.53555,1.07849,0.837338101,0.859654538,2.107699012,2.279160656,0.10174056383781448,0.363073053,0.607691949,0.39077908782966503,0.038203504,0.913948938,3.840936919246972,0.10522263683391563,1.12082,1.3033,1.5265923771929593,0.9995115822479175,0.5220947776676299,3.710049303918868,0.23083397051272259,0.0786335934485829
L75,1.387630304,1.398433496,-20.04179923,-5.802002493,0.564200522,0.528256616,0.525577712,0.56704249,0.177553112,0.121738725,0.236954901,0.155096906,0.950847931,0.934774506,0.897130078,0.896058517,98.36018007,234.808596,2.384253479,2.365177846,0.546152861,0.917553811,0.908928904,0.549461548,0.540843477,0.507730509,0.445010475,50.81163302,60.83342507,61.79398371,993.5749724,3.166366863,0.974050564,5.117411953,3.676665104,0.238886288,-3.166366863,0.510298241,0.074911102,-2918.61749,-2918.46416,0.97952,0.000514271,2.617847385,1.12997,1.14982,-5.730245438,-0.27722,1.07398,1.06592,-0.550148,0.406695,0.322612,-6.571005262,-2.231877802,4.33912746,2.16956373,0.46092216,4.401441532,4.464650494,1.06592,1.07398,0.908928904,0.917553811,2.365177846,2.384253479,0.0224027732214123,0.525577712,0.56704249,0.4008820669613927,0.121738725,0.950847931,17.89430545046247,0.231628400939498,1.12997,1.14982,1.7167089950760066,0.9946868100610881,0.4273022699695172,4.098183112185187,0.09138431479219083,0.21184514267124938
L76,1.391545212,1.391421198,17.62418053,17.67256618,0.444674804,0.570606597,0.444371972,0.571095788,0.123788669,0.279304883,0.279444652,0.123509132,0.765560939,0.861908312,0.862746925,0.765234812,97.58474467,260.5811428,2.330090539,2.331165664,0.508060007,0.869741195,0.870154678,0.513666905,0.495841348,0.436209125,0.369993254,51.91727617,50.76103902,51.15563669,1037.377625,3.506155469,0.352626374,5.857433487,4.528744865,0.01115591,-3.506155469,1.022589397,0.068308499,-4404.38184,-4404.246822,0.917716,0.000452853,108.0650564,1.16628,1.16576,-5.738053639,-0.20564,1.08009,1.05635,-0.420654,0.257694,0.256605,-6.511956556,-2.35895497,4.153001586,2.076500793,0.481579397,4.435455763,4.737120229,1.05635,1.08009,0.869741195,0.870154678,2.330090539,2.331165664,0.07293577013902389,0.444371972,0.571095788,0.33457727181117464,0.123509132,0.862746925,4.587286473748509,0.27794086887190084,1.16576,1.16628,1.7031750942094874,0.9956253595695498,0.4340037656259505,4.5479989104695155,0.006740822851376338,0.418174672877753
L77,1.388597126,1.388612177,-1.803907387,-1.350727651,0.534662691,0.499510809,0.53354454,0.5013511,0.098071189,0.146291465,0.145685799,0.096114424,0.971254193,0.852730153,0.8570164,0.970974655,89.89652093,217.6956937,2.306768523,2.306269759,0.517150811,0.896413763,0.895889629,0.517813916,0.490015294,0.425976235,0.329988387,52.81124799,59.74711289,60.34816418,761.3746353,3.251587437,0.437308001,5.064286348,3.74774755,0.277873765,-3.251587437,0.496160113,0.084400679,-2184.226949,-2184.119185,0.645917,0.000361442,6.940799316,1.11946,1.11946,-3.603145831,-0.28294,1.07843,1.07851,-0.593315,0.344852,0.343649,-6.478214439,-2.217727882,4.260486557,2.130243279,0.469429952,4.34797116,4.437252167,1.07843,1.07851,0.895889629,0.896413763,2.306269759,2.306768523,0.0194607859136663,0.499510809,0.534662691,0.42572798930949746,0.096114424,0.971254193,21.87619714836546,0.19241710543244722,1.11946,1.11946,1.568990276316495,0.9999991845456391,0.5009030247482835,3.7995066224780767,0.1942662146003593,0.10436525371852584
L78,1.390828371,1.390682033,-0.242904819,1.516493903,0.509201454,0.433656355,0.509690645,0.439782892,0.067275438,0.080646664,0.079388744,0.067182259,0.951127469,0.786666045,0.800177041,0.952199031,86.23134049,207.3960307,2.338774988,2.335413021,0.47293142,0.87322377,0.870381802,0.474008441,0.450868784,0.403775681,0.330102953,49.38400489,56.18584325,56.16102538,776.8648108,3.439070392,0.231708768,5.240514945,4.042458012,0.208872676,-3.439070392,0.60338762,0.078193263,-2259.069771,-2258.963271,0.63775,0.000357203,7.413627211,1.11292,1.11,-3.645384834,-0.27364,1.11114,1.114,-0.530748,0.392812,0.406187,-6.486649968,-2.287389027,4.199260941,2.09963047,0.476274284,4.387019498,4.583173169,1.11114,1.114,0.870381802,0.87322377,2.335413021,2.338774988,0.04206352307505443,0.433656355,0.509690645,0.4312506989166815,0.067182259,0.952199031,10.252367547701505,0.15492049920495227,1.11,1.11292,1.5050208099588003,0.9989187852462124,0.5328640491790628,3.61974359128224,0.26993086091057583,0.05607636778534625
L79,1.398654693,1.386908709,-1.958526451,-24.14507104,0.466478755,0.505101565,0.576919493,0.572353709,0.031168468,0.069884458,0.17778606,0.215290719,0.901789042,0.940318673,0.966921357,0.938548267,81.76458605,230.7494004,2.358634712,2.311806412,0.530254146,0.916773435,0.908573658,0.548367575,0.547611633,0.502899224,0.414067704,59.01375819,54.52905213,59.8179083,818.864837,3.37751278,0.226389266,5.239071496,3.972988801,0.202404526,-3.37751278,0.595476022,0.065625874,-3848.630352,-3848.505483,0.785577,0.000418813,17.1082526,1.09851,1.12458,-4.784510287,-0.21466,1.04908,1.10533,-0.422098,0.335636,0.337386,-6.347327677,-2.319498462,4.027829215,2.013914608,0.496545383,4.333413069,4.662180998,1.04908,1.10533,0.908573658,0.916773435,2.311806412,2.358634712,0.05369659826681097,0.466478755,0.576919493,0.438835455653542,0.031168468,0.966921357,8.172500117661631,0.06681647913418907,1.09851,1.12458,1.427061238102725,0.9948439421634842,0.5716203386204113,4.0273367839827205,0.11280698860890453,0.18364328372880245
L80,1.389949273,1.390153834,5.777659903,5.062779235,0.49033265,0.564037458,0.501281215,0.560636414,0.171543049,0.162178531,0.151043608,0.172428252,0.809122251,0.965896385,0.970229221,0.830134178,96.94109585,225.2296379,2.312641707,2.314420673,0.528937989,0.863841782,0.86627609,0.527861399,0.497770884,0.42355549,0.33702174,54.20436863,63.47031183,62.48518165,829.934061,3.327488659,0.069353183,5.13025269,3.863294775,0.251553427,-3.327488659,0.535806117,0.087253556,-2411.641817,-2411.526806,0.690035,0.000385749,8.800264876,1.13637,1.13632,-3.743384738,-0.28433,1.07084,1.07339,-0.608383,0.324906,0.330432,-6.639577952,-2.297185126,4.342392826,2.171196413,0.460575558,4.468381539,4.598025646,1.07084,1.07339,0.863841782,0.86627609,2.312641707,2.314420673,0.03869522129684145,0.49033265,0.564037458,0.39407030040371344,0.151043608,0.970229221,10.183952622487778,0.30804313765359087,1.13632,1.13637,1.691941303073911,0.9963354587373628,0.43957556454569413,3.930998754429607,0.14503243298811996,0.14786646514473167
L81,1.389664049,1.398076785,20.0609794,-1.580302473,0.571817928,0.618780283,0.363958256,0.543631196,0.184541558,0.283917257,0.166930675,0.026695863,0.959094297,0.95364331,0.920331718,0.701220649,85.77426119,221.4119702,2.316660655,2.092537208,0.524785688,0.924687849,0.824974376,0.521444975,0.485624074,0.406594403,0.306223422,50.33438048,61.44206889,45.84428462,692.8132522,3.736376774,1.482140927,5.056836837,4.288791991,0.34157838,-3.736376774,0.552415218,0.077832178,-1896.766248,-1896.665493,0.642872,0.000337934,6.355547091,1.29635,1.13386,-3.467484839,-0.01116,-0.51981,1.06535,-0.389158,-0.364281,0.400402,-6.595767622,-2.531203037,4.064564585,2.032282292,0.492057626,4.56348533,5.123648037,-0.51981,1.06535,0.824974376,0.924687849,2.092537208,2.316660655,0.11145612514254931,0.363958256,0.618780283,0.39822206334862253,0.026695863,0.959094297,3.572904251240634,0.07334869469206381,1.13386,1.29635,1.4970432712310895,0.9986407380099913,0.5368431051467046,3.864367883317568,0.16926571817676983,0.12501355380911144
L82,1.395749549,1.391907336,-5.569850124,-16.94353027,0.532985464,0.545844204,0.5863306,0.477543794,0.123369363,0.164181886,0.161293328,0.227124488,0.942601565,0.927506523,0.79379426,0.945536713,97.87727504,227.8601165,2.375380564,2.353998682,0.535314946,0.904532007,0.927186219,0.538486903,0.523000694,0.474961449,0.396596039,52.60315897,57.11766875,69.06535091,854.0650285,3.243532698,0.668481215,5.150614879,3.778991327,0.230843749,-3.243532698,0.535458628,0.076683644,-2752.928656,-2752.804968,0.737357,0.000414852,2.786819477,1.12486,1.1397,-4.600072147,-0.28064,1.06296,1.07125,-0.566667,0.447834,0.472373,-6.538623714,-2.166842592,4.371781122,2.185890561,0.457479445,4.352733153,4.333768176,1.06296,1.07125,0.904532007,0.927186219,2.353998682,2.375380564,0.044929104272317694,0.477543794,0.5863306,0.39588986107494184,0.123369363,0.945536713,8.811434536407232,0.2583414642804467,1.12486,1.1397,1.7082807123280646,0.995281949661026,0.4314741629750288,3.976909266902858,0.1292455108207725,0.16452852766077103
L83,1.400043748,1.390162911,3.973052672,13.25247322,0.560985837,0.557794447,0.533893962,0.581764816,0.182771152,0.141958628,0.199124115,0.164601193,0.939200522,0.973630265,0.964405516,0.903186731,98.59450026,229.0625842,2.439984998,2.362382831,0.558603941,0.942234672,0.926533964,0.570068587,0.568272839,0.525536306,0.445481547,57.04431001,78.95780866,59.25060973,900.4529691,3.260759734,0.900686209,4.995485382,3.728002833,0.317757716,-3.260759734,0.467243099,0.077496259,-2771.137807,-2770.997446,1.055729,0.000470773,3.129994893,1.14793,1.14794,-5.791597054,-0.22256,1.05613,1.06201,-0.529923,0.37003,0.342262,-6.393859145,-2.060446076,4.333413069,2.166706535,0.461529969,4.227152611,4.123497785,1.05613,1.06201,0.926533964,0.942234672,2.362382831,2.439984998,0.019607292574768474,0.533893962,0.581764816,0.414008339652383,0.141958628,0.973630265,21.115018204254632,0.2658929265058817,1.14793,1.14794,1.7207986538954054,0.9943853650879054,0.4252797832785634,3.9978962874167414,0.12228712832122202,0.17238286588126833
