Ligand#;distance_pi_bond_1;distance_pi_bond_2;dihedral_angle_1;dihedral_angle_2;NE_quad;NW_quad;SW_quad;SE_quad;+,+,+_octant;-,+,+_octant;-,-,+_octant;+,-,+_octant;+,-,-_octant;-,-,-_octant;-,+,-_octant;+,+,-_octant;bite_angle;cone_angle;distance_Rh_max_donor_gaussian;distance_Rh_min_donor_gaussian;buried_volume_Rh_3.5A;buried_volume_donor_max;buried_volume_donor_min;buried_volume_Rh_4A;buried_volume_Rh_5A;buried_volume_Rh_6A;buried_volume_Rh_7A;dispersion_p_int_Rh_gfn2_xtb;dispersion_p_int_donor_max_gfn2_xtb;dispersion_p_int_donor_min_gfn2_xtb;sasa_gfn2_xtb;ip_gfn2_xtb;dipole_gfn2_xtb;ea_gfn2_xtb;electrofugality_gfn2_xtb;nucleofugality_gfn2_xtb;nucleophilicity_gfn2_xtb;electrophilicity_gfn2_xtb;HOMO_LUMO_gap_gfn2_xtb;sum_electronic_and_free_energy_dft;sum_electronic_and_enthalpy_dft;zero_point_correction_dft;entropy_dft;dipole_moment_dft;lone_pair_occupancy_min_donor_dft;lone_pair_occupancy_max_donor_dft;dispersion_energy_dft;nbo_charge_Rh_dft;nbo_charge_min_donor_dft;nbo_charge_max_donor_dft;mulliken_charge_Rh_dft;mulliken_charge_min_donor_dft;mulliken_charge_max_donor_dft;homo_energy_dft;lumo_energy_dft;homo_lumo_gap_dft;hardness_dft;softness_dft;electronegativity_dft;electrophilicity_dft;min_NBO_donor;max_NBO_donor;min_bv_donor;max_bv_donor;Rh_donor_min_d;Rh_donor_max_d;std_quad;min_quad;max_quad;std_oct;min_oct;max_oct;ratio_std_oct_std_quad;ratio_min_oct_min_quad;lone_pair_occ_min;lone_pair_occ_max;bite_angle_sin;bite_angle_cos;cone_angle_sin;cone_angle_cos
L43;1.387962878;1.393124248;-2.595645669;10.71755212;0.525670891;0.47225587;0.520219903;0.54509877;0.096393962;0.092433843;0.198704808;0.12108647;0.95494782;0.852077898;0.891492732;0.919353336;88.78113144;256.1784186;2.345927854;2.32177587;0.515537644;0.920989797;0.89314084;0.526220439;0.545362808;0.536590095;0.502820742;57.00902844;66.71307504;61.74614034;1286.454526;3.127541277;0.41065663;5.218617433;3.683414674;0.183255964;-3.127541277;0.555873397;0.075243685;-4153.415911;-4153.182357;1.70089;0.000783344;3.70900177;1.11898;1.12276;-8.860936292;-0.26766;1.08699;1.08886;-0.492907;0.358249;0.338602;-7.737557339;-4.005243766;3.732313573;1.866156787;0.535860656;5.871400552;9.236454485;1.08699;1.08886;0.89314084;0.920989797;2.32177587;2.345927854;0.030937995;0.47225587;0.54509877;0.417718705;0.092433843;0.95494782;13.50180249;0.195728309;1.11898;1.12276;0.728779014;0.684748968;-0.990407991;0.138173842
L44;1.392151084;1.395117411;4.297271079;8.850679225;0.459816437;0.480968133;0.467899739;0.508665673;0.134690645;0.066483414;0.085911293;0.128540813;0.784942229;0.895452851;0.931420052;0.807258666;90.12444651;231.7799548;2.340454687;2.344307706;0.479529678;0.874778699;0.873037411;0.479536497;0.458015357;0.413170665;0.339298116;46.61349148;51.6194267;50.29376571;783.2040182;3.424935723;0.393824569;5.173501228;3.993179503;0.240742551;-3.424935723;0.56824378;0.081317663;-2669.07984;-2668.96305;0.611896;0.000391716;7.717672259;1.13983;1.13993;-3.782966642;-0.24975;1.02731;1.01985;-0.358862;0.385213;0.373662;-8.558524826;-4.368515756;4.19000907;2.095004535;0.477325936;6.463520291;9.970645374;1.01985;1.02731;0.873037411;0.874778699;2.340454687;2.344307706;0.021406346;0.459816437;0.508665673;0.404533171;0.066483414;0.931420052;18.89781505;0.144586858;1.13983;1.13993;0.831465579;-0.55557627;-0.642611299;0.766192351
L45;1.389749829;1.389521129;-6.685076364;-6.35125628;0.561731271;0.531634365;0.55858647;0.527953783;0.147456206;0.201267238;0.186451733;0.134737234;0.976006336;0.862001491;0.869455833;0.982435706;90.44798289;258.5300831;2.325917139;2.323694448;0.54520942;0.904287411;0.906389769;0.56501381;0.597838684;0.589829471;0.548882662;65.77382084;66.63120057;65.61523669;1259.704699;3.148008905;0.84535905;5.217054866;3.705445653;0.186381882;-3.148008905;0.557436748;0.075483568;-4389.612577;-4389.381241;1.766223;0.000775905;5.421681877;1.10905;1.10976;-9.439715772;-0.2877;1.08195;1.08611;-0.733431;0.39408;0.384402;-8.148721367;-3.988916934;4.159804433;2.079902216;0.480791833;6.068819151;8.85391765;1.08195;1.08611;0.904287411;0.906389769;2.323694448;2.325917139;0.017642176;0.527953783;0.561731271;0.406367825;0.134737234;0.982435706;23.03388373;0.255206494;1.10905;1.10976;0.611697089;-0.791092075;0.795289824;0.606229409
L46;1.390074215;1.39024858;-8.507546689;-10.19325356;0.554836004;0.531401416;0.551877562;0.516981923;0.132221394;0.196561685;0.178345136;0.124394335;0.977450615;0.866241148;0.85561871;0.97936079;90.31098897;257.1989231;2.326590342;2.327133868;0.539275065;0.903617685;0.904537831;0.556324095;0.578350178;0.567994013;0.525765244;63.66591277;65.72343628;66.48025993;1240.62467;3.04357537;0.069260745;5.046800021;3.506414075;0.262038683;-3.04357537;0.462838705;0.076712938;-3932.556499;-3932.340496;1.633272;0.000724478;6.728549985;1.11334;1.11272;-8.50625886;-0.28453;1.08962;1.08757;-0.720778;0.387961;0.390065;-8.185184623;-3.98293043;4.202254193;2.101127097;0.475935036;6.084057526;8.808547575;1.08757;1.08962;0.903617685;0.904537831;2.326590342;2.327133868;0.017878674;0.516981923;0.554836004;0.410260015;0.124394335;0.97936079;22.94689308;0.240616411;1.11272;1.11334;0.714002236;-0.700143419;-0.400144482;0.916452068
L47;1.389580032;1.392563819;13.64962129;-5.659732601;0.530073612;0.479686918;0.505054976;0.526742452;0.093458815;0.107389117;0.198704808;0.119176295;0.966688408;0.851984719;0.854780097;0.890933656;90.44709394;247.8346392;2.349203524;2.345021932;0.510220602;0.909732575;0.890083395;0.521627304;0.534489215;0.509050297;0.453018706;52.18970596;62.21923048;57.04726997;1157.311014;3.464915901;0.643228136;5.45103877;4.188921263;0.118966592;-3.464915901;0.724005362;0.076705017;-4049.1848;-4048.991922;1.1254;0.000646916;5.124622043;1.12639;1.12067;-6.470635083;-0.2781;1.08922;1.09312;-0.516664;0.364086;0.349074;-8.181919257;-4.298582496;3.88333676;1.94166838;0.515021005;6.240250877;10.0276472;1.08922;1.09312;0.890083395;0.909732575;2.345021932;2.349203524;0.023280815;0.479686918;0.530073612;0.409660199;0.093458815;0.966688408;17.59647181;0.194832945;1.12067;1.12639;0.612400088;-0.790547995;0.344006435;-0.93896729
L48;1.393914628;1.394239493;5.548385963;4.636151707;0.530446329;0.45944372;0.530423034;0.457766493;0.109066344;0.103242639;0.10175177;0.109112933;0.951826314;0.815644801;0.813781215;0.951733135;89.10539642;234.4716877;2.373643865;2.371754249;0.49435683;0.897491148;0.8980444;0.498161194;0.47973495;0.442723026;0.383055197;50.56159273;55.86177368;57.32670299;898.4736366;3.413280877;0.775053281;5.326127424;4.059284761;0.165876461;-3.413280877;0.646003884;0.072844439;-2906.365925;-2906.235179;0.799552;0.000438524;4.566810066;1.13822;1.13669;-4.967469169;-0.26604;1.06791;1.07101;-0.444246;0.351292;0.351888;-8.198246088;-4.366338845;3.831907243;1.915953621;0.521933302;6.282292466;10.29962265;1.06791;1.07101;0.897491148;0.8980444;2.371754249;2.373643865;0.041476478;0.457766493;0.530446329;0.418790735;0.10175177;0.951826314;10.09706601;0.222278763;1.13669;1.13822;0.908968164;0.416865537;0.911847181;-0.410529803
L49;1.394510399;1.394370581;5.40719775;5.431450572;0.534942229;0.458791465;0.53484905;0.459001118;0.113865076;0.102497205;0.102497205;0.113958256;0.956019381;0.815085725;0.815505032;0.955739843;89.36178704;243.0673852;2.373698307;2.374570399;0.496837728;0.897991987;0.897881336;0.500430606;0.490476491;0.464045988;0.41567732;52.01438174;58.4153853;56.48938939;1071.613729;3.144604123;1.36668534;5.118865725;3.65296781;0.235497962;-3.144604123;0.508363687;0.072401805;-3220.096021;-3219.929623;1.018513;0.000558102;1.466844296;1.13634;1.1359;-5.806757937;-0.25674;1.08576;1.08601;-0.461528;0.354113;0.354607;-7.991711675;-4.135858414;3.855853262;1.927926631;0.518691938;6.063785045;9.536018767;1.08576;1.08601;0.897881336;0.897991987;2.373698307;2.374570399;0.043878344;0.458791465;0.534942229;0.418934565;0.102497205;0.956019381;9.547638479;0.223406957;1.1359;1.13634;0.984968706;0.172732884;-0.918689967;-0.394979423
L50;1.387810198;1.391807264;9.117102554;-5.96358567;0.534196795;0.45872158;0.547964033;0.525670891;0.109066344;0.081811405;0.190132315;0.143868804;0.959327246;0.835631755;0.861209467;0.952059262;88.85811008;253.9951101;2.338556818;2.312874412;0.516312197;0.916028;0.89824823;0.536698529;0.570722699;0.567127761;0.535505485;60.06414981;68.50963844;62.60927385;1303.944198;3.101255835;1.832484834;5.232657769;3.661446562;0.173532958;-3.101255835;0.560190727;0.075795007;-4618.180521;-4617.938454;1.83186;0.000811897;2.926654893;1.11568;1.11831;-9.754522424;-0.39843;1.21514;1.22982;-0.54932;0.327666;0.334625;-7.878784427;-3.962794005;3.915990423;1.957995211;0.510726479;5.920789216;8.95194859;1.21514;1.22982;0.89824823;0.916028;2.312874412;2.338556818;0.039688522;0.45872158;0.547964033;0.415211412;0.081811405;0.959327246;10.46175029;0.178346536;1.11568;1.11831;0.779279814;0.626676129;0.456355358;-0.88979761
L51;1.385467305;1.39634386;-2.445255608;-5.762660484;0.475004659;0.480735184;0.511018449;0.549548081;0.093505404;0.09918934;0.147968692;0.195303764;0.856503914;0.862281029;0.951127469;0.826733135;89.98334874;223.6568951;2.333149335;2.405670229;0.504082417;0.906302413;0.917577106;0.509760412;0.485874381;0.408932378;0.308247895;50.37417845;59.65970429;59.61071068;711.8328961;3.253033768;0.199929735;4.701624599;3.608589883;0.499931516;-3.253033768;0.355556115;0.077602732;-2226.108198;-2225.996238;0.747406;0.000375516;4.563988745;1.17096;1.14671;-3.930067405;-0.26015;1.05645;1.05065;-0.487528;0.317327;0.321757;-8.534034579;-4.346746648;4.187287931;2.093643966;0.477636129;6.440390614;9.905846442;1.05065;1.05645;0.906302413;0.917577106;2.333149335;2.405670229;0.034185008;0.475004659;0.549548081;0.39841347;0.093505404;0.951127469;11.65462563;0.196851551;1.14671;1.17096;0.901333375;-0.433126017;-0.567788408;-0.823174541
L52;1.389033182;1.389061863;-5.658645328;-5.581486914;0.5179836;0.509457697;0.519940365;0.508572493;0.076639955;0.176621319;0.175829296;0.078922848;0.959327246;0.842294074;0.841315691;0.960957883;91.01959816;221.9958059;2.328430196;2.32776979;0.514233135;0.89887719;0.899226612;0.516653994;0.500299581;0.451913919;0.375445455;52.59780782;57.96461815;57.18712656;839.6641665;3.390390709;0.277902021;5.247445959;3.991690939;0.199854271;-3.390390709;0.60130023;0.075566883;-2715.843476;-2715.72408;0.74242;0.000400456;5.51916626;1.12008;1.12047;-4.701106235;-0.28222;1.08757;1.08733;-0.544025;0.396868;0.397638;-8.533218238;-4.356542747;4.176675491;2.088337746;0.478849746;6.444880492;9.944867549;1.08733;1.08757;0.89887719;0.899226612;2.32776979;2.328430196;0.005809384;0.508572493;0.519940365;0.417776427;0.076639955;0.960957883;71.91406602;0.150696225;1.12008;1.12047;0.086480633;-0.996253532;0.871018843;-0.491249606
