index,C1_bv,C2_bv,R1_bv,R2_bv,R3_bv,R4_bv,C1_R1_L,C1_R1_B_1,C1_R1_B_5,C1_R2_L,C1_R2_B_1,C1_R2_B_5,C2_R3_L,C2_R3_B_1,C2_R3_B_5,C2_R4_L,C2_R4_B_1,C2_R4_B_5
SM1,0.9573217975206612,0.8798101756198347,0.9154829545454546,0.9485730888429752,0.6641593491735537,0.9811789772727273,5.034409515580796,2.5333801486291385,5.133017757446268,5.497381596397759,2.317549287982925,7.150241825606788,3.437212913255441,2.6559459494322533,5.965839241224925,6.8255709712804435,2.294154605037662,5.884741937015477
SM2,0.9573217975206612,0.6319085743801653,0.9154829545454546,0.9470235020661157,0.6356856921487604,0.6641270661157025,5.034409515580796,2.3328212283974903,5.133017757446268,5.497381596397759,1.702570679218102,4.765995949535261,3.437212913255441,1.5562541187803116,5.957750725995483,2.6691732750426502,1.5572177796764204,5.884797072309226
SM3,0.9573217975206612,0.8798101756198347,0.9154829545454546,0.9456676136363636,0.6641593491735537,0.9811789772727273,5.034409515580796,2.4311028881533376,4.384168819583305,4.432379107102655,2.317549287982925,7.150241825606788,3.437212913255441,2.304688554312459,5.965839241224925,6.8255709712804435,2.294154605037662,4.831281190427903
SM7,0.9634232954545454,0.8286738119834711,0.9448928202479339,0.4949638429752066,0.705417097107438,0.9682011880165289,4.1062348552758134,2.1006997428029948,5.762329610922219,3.603849451574193,2.0146612640873993,7.515376938325895,3.102154893647683,1.995682436997333,6.158729968954148,6.852218125066733,2.060647675019223,4.243763496915204
SM8,0.9667807334710744,0.5163997933884298,0.9494124483471075,0.9699121900826446,0.6359762396694215,0.6527957128099173,4.107556904184931,2.1453984586595833,5.796781182667475,6.8692152671705955,2.011536121335866,3.9546881226704973,2.680696468025164,1.3382577841620655,5.0840885671419205,4.273262302276162,1.6417465277998193,7.158015554873447
