index;BCUT2D_CHGHI;BCUT2D_CHGLO;BCUT2D_LOGPHI;BCUT2D_LOGPLOW;BCUT2D_MRHI;BCUT2D_MRLOW;BCUT2D_MWHI;BCUT2D_MWLOW;BalabanJ;BertzCT;Chi0;Chi0n;Chi0v;Chi1;Chi1n;Chi1v;Chi2n;Chi2v;Chi3n;Chi3v;Chi4n;Chi4v;EState_VSA1;EState_VSA10;EState_VSA2;EState_VSA3;EState_VSA4;EState_VSA5;EState_VSA6;EState_VSA7;EState_VSA8;EState_VSA9;ExactMolWt;FpDensityMorgan1;FpDensityMorgan2;FpDensityMorgan3;FractionCSP3;HallKierAlpha;HeavyAtomCount;HeavyAtomMolWt;Ipc;Kappa1;Kappa2;Kappa3;LabuteASA;MaxAbsEStateIndex;MaxAbsPartialCharge;MaxEStateIndex;MaxPartialCharge;MinAbsEStateIndex;MinAbsPartialCharge;MinEStateIndex;MinPartialCharge;MolLogP;MolMR;MolWt;NHOHCount;NOCount;NumAromaticCarbocycles;NumAromaticRings;NumHAcceptors;NumHDonors;NumHeteroatoms;NumRotatableBonds;NumValenceElectrons;PEOE_VSA1;PEOE_VSA10;PEOE_VSA12;PEOE_VSA2;PEOE_VSA6;PEOE_VSA7;PEOE_VSA8;PEOE_VSA9;RingCount;SMR_VSA1;SMR_VSA10;SMR_VSA3;SMR_VSA5;SMR_VSA6;SMR_VSA7;SlogP_VSA1;SlogP_VSA2;SlogP_VSA3;SlogP_VSA5;SlogP_VSA6;SlogP_VSA8;TPSA;VSA_EState1;VSA_EState2;VSA_EState3;VSA_EState4;VSA_EState5;VSA_EState6;VSA_EState7;VSA_EState8;VSA_EState9;fr_Al_COO;fr_COO;fr_COO2;fr_C_O;fr_C_O_noCOO;fr_NH1;fr_amide;fr_benzene;fr_ester;fr_ether;fr_methoxy;qed
SM1;2.1003344538375073;-2.0510654610714316;2.0530534467819184;-2.2506977776870123;5.969267385159779;-0.13708596181153024;16.524524532585342;10.165835591366463;2.9621602991935845;409.5318664107582;11.966255326250886;9.188846486529346;9.188846486529346;7.6302289553358;4.758654597872243;4.758654597872243;3.141464146060273;3.141464146060273;1.826585154095631;1.826585154095631;1.1615753093206613;1.1615753093206613;5.969305287951849;9.589074368143644;11.604219042407339;0.0;5.563451491696996;14.033534740968157;6.076020106833881;30.33183534230805;10.05365155780638;0.0;219.089543276;1.25;1.875;2.375;0.16666666666666666;-2.0999999999999996;16.0;206.13599999999997;3652.601783950412;11.971942446043165;5.701348272525828;3.570210348223531;93.91790438689482;11.34660478080121;0.4643463053620676;11.34660478080121;0.3540707440336486;0.12611111111111128;0.3540707440336486;-0.570321239606953;-0.4643463053620676;1.3366000000000002;60.25170000000003;219.24;1.0;4.0;1.0;1.0;3.0;1.0;4.0;3.0;84.0;10.05365155780638;5.697039313055833;5.907179729351506;4.794537184071822;30.33183534230805;11.639471598530877;6.923737199690624;7.109797541277533;1.0;14.325937321943691;17.952505124137236;5.316788604006331;6.923737199690624;7.109797541277533;41.59232614706088;5.316788604006331;18.98628255858089;14.325937321943691;12.487188691387619;36.028874655363886;6.076020106833881;55.4;4.563504582388511;22.251631550768455;2.4266855631141344;0.9424537037037042;-0.8827461262282679;9.2004652462837;1.5627314814814814;1.3350925925925927;1.2668480725623583;0.0;0.0;0.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.616124800330342
SM2;2.055038782995819;-2.0096043512053807;1.8572066558052276;-2.241103988741899;5.919267727070378;-0.1371562352059686;16.5244724750313;10.461755642358094;3.8556897063466193;173.83174223787773;8.146264369941973;5.931851652578137;5.931851652578137;4.574586062669972;2.6241741167529313;2.6241741167529313;1.6513212322383675;1.6513212322383675;0.7587144298189726;0.7587144298189726;0.3867191138913305;0.3867191138913305;5.969305287951849;9.589074368143644;11.604219042407339;0.0;0.0;14.033534740968157;0.0;0.0;16.632587241404877;0.0;143.058243148;1.5;2.0;2.3;0.3333333333333333;-1.32;10.0;134.06999999999996;116.2913399593977;8.679999999999998;3.6573239532818795;2.860445539297925;58.86081018083079;10.510787037037037;0.4643625441184333;10.510787037037037;0.3534228324913815;0.04629629629629606;0.3534228324913815;-0.6294444444444445;-0.4643625441184333;-0.19080000000000008;34.9727;143.14199999999997;1.0;4.0;0.0;0.0;3.0;1.0;4.0;2.0;56.0;10.05365155780638;5.697039313055833;5.907179729351506;4.794537184071822;6.578935683598497;0.0;6.923737199690624;7.109797541277533;0.0;14.325937321943691;11.876485017303356;5.316788604006331;6.923737199690624;7.109797541277533;12.27597499665433;5.316788604006331;18.98628255858089;14.325937321943691;6.923737199690624;12.27597499665433;0.0;55.4;4.259675925925926;20.805605631141347;2.185509259259259;-0.04629629629629606;-0.9670370370370369;0.0;0.0;4.544953703703704;1.217588813303099;0.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;0.4302497495122236
SM3;2.075146876331166;-2.0187388408488345;2.041715386042133;-2.239425754063036;5.957874769946815;-0.13388603075592054;16.367444592860576;10.166567737439264;2.9404586486889475;395.553877923803;11.259148545064338;8.22781179156544;8.22781179156544;7.092224152875014;4.369888959926428;4.369888959926428;2.9550350866715593;2.9550350866715593;1.651684568613755;1.651684568613755;1.0568661181475112;1.0568661181475112;11.876485017303356;9.589074368143644;5.697039313055833;0.0;5.563451491696996;12.999757306524504;24.26546827384644;6.06636706846161;5.316788604006331;5.106527394840706;205.073893212;1.2666666666666666;1.8666666666666667;2.3333333333333335;0.09090909090909091;-2.0999999999999996;15.0;194.12499999999997;2042.320159828323;10.977519379844964;4.95024333881867;3.6400830186323776;87.23365079518734;10.756327003023431;0.4765658886725096;10.756327003023431;0.3519092443346934;0.13083333333333313;0.3519092443346934;-1.1582842025699167;-0.4765658886725096;1.2481999999999998;55.871500000000026;205.213;2.0;4.0;1.0;1.0;2.0;2.0;4.0;3.0;78.0;10.423315998847038;5.697039313055833;5.907179729351506;4.794537184071822;30.33183534230805;11.639471598530877;6.923737199690624;0.0;1.0;14.69560176298435;17.952505124137236;5.316788604006331;6.923737199690624;0.0;41.59232614706088;5.316788604006331;16.98301241214406;9.589074368143644;12.487188691387619;36.028874655363886;6.076020106833881;66.4;0.0;21.4898685122197;11.050876795162509;0.594768518518519;-1.5614498299319721;8.920473041068279;1.4064814814814814;1.265648148148148;0.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.729580002628749
SM7;1.976000897279724;-1.9318355625029222;2.0487051273528163;-1.9453359458124284;5.908365174612262;-0.1319913618596327;16.365696663758648;10.13888284496242;2.8853850923674402;298.87443501222594;8.974691494688164;6.819563501101578;6.819563501101578;5.698377302757663;3.665764814694496;3.665764814694496;2.543186436121069;2.543186436121069;1.5200862680512497;1.5200862680512497;0.8610016074316199;0.8610016074316199;5.969305287951849;4.794537184071822;0.0;5.573104530069267;5.563451491696996;0.0;12.999757306524504;30.33183534230805;0.0;5.106527394840706;162.06807956;1.3333333333333333;1.9166666666666667;2.4166666666666665;0.1;-1.5699999999999998;12.0;152.10799999999998;526.605418861369;8.525877277085332;3.715479048307071;2.234974333040861;71.15732439713892;10.435354780801209;0.4778813510113616;10.435354780801209;0.3307878293088647;0.3483333333333334;0.3307878293088647;-0.8760619803476934;-0.4778813510113616;2.1745;47.72880000000003;162.188;1.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;62.0;5.106527394840706;0.0;0.0;0.0;30.33183534230805;18.5632087982215;5.573104530069267;0.0;1.0;9.901064578912528;12.045325394785731;0.0;6.923737199690624;0.0;41.468391364074314;0.0;11.075832682792555;4.794537184071822;12.487188691387619;35.90493987237732;6.076020106833881;37.3;0.0;10.435354780801209;8.575024565381709;1.262592592592593;-0.8760619803476934;9.383182634164777;1.6412037037037037;1.5787037037037037;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.6764956623760653
SM8;2.0390311943683948;-1.9683160300741616;2.0992988552581346;-1.9640699745947658;6.138626847786027;-0.12983554058305036;16.365768816953576;10.09423226934294;2.9479803431399967;274.87402422213546;8.267584713501616;5.9493200130984984;5.9493200130984984;5.215214055163271;3.191967936098144;3.191967936098144;2.149731358786196;2.149731358786196;1.3804092417763683;1.3804092417763683;0.7628126036194345;0.7628126036194345;5.969305287951849;4.794537184071822;5.573104530069267;5.563451491696996;0.0;0.0;24.26546827384644;6.06636706846161;6.578935683598497;5.106527394840706;148.052429496;1.2727272727272727;1.8181818181818181;2.272727272727273;0.0;-1.5699999999999998;11.0;140.09699999999998;335.4793897870248;7.536044538706258;3.012055326400651;1.6738512396932355;64.79238228274231;10.40018896447468;0.4776390632898904;10.40018896447468;0.335184764571391;0.1301851851851854;0.335184764571391;-0.9757407407407406;-0.4776390632898904;1.7844;43.11180000000002;148.16099999999997;1.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;56.0;5.106527394840706;0.0;0.0;0.0;36.91077102590655;5.563451491696996;0.0;5.573104530069267;1.0;9.901064578912528;11.542409818021117;0.0;0.0;0.0;42.47422251760354;0.0;11.075832682792555;4.794537184071822;5.563451491696996;36.91077102590655;5.573104530069267;37.3;0.0;10.40018896447468;8.535891912320483;0.7829629629629633;-0.9757407407407406;8.831789493575208;0.0;3.4249074074074075;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.6489204335813591
