index,C1_bv,C2_bv,R1_bv,R2_bv,R3_bv,R4_bv,C1_R1_L,C1_R1_B_1,C1_R1_B_5,C1_R2_L,C1_R2_B_1,C1_R2_B_5,C2_R3_L,C2_R3_B_1,C2_R3_B_5,C2_R4_L,C2_R4_B_1,C2_R4_B_5
SM1,0.9667161673553719,0.8145661157024794,0.8490767045454546,0.9428267045454546,0.974948347107438,0.6803977272727273,5.715749204040475,2.269163580912737,6.746176053562399,5.760843589897705,2.274106071387032,5.618399124774129,6.7612445459410875,1.788347318931538,6.66702135608273,4.4440655255255965,2.46531031794583,5.672779005600411
SM2,0.9599044421487604,0.5816438533057852,0.8270596590909091,0.940470041322314,0.7255294421487604,0.6754584194214877,5.825343453676836,1.829928309247467,4.509854952875182,5.697151998046158,1.8205143077647157,4.621600569606923,3.884983043608747,1.7547338411914912,5.937868413360895,4.80001289297177,1.6667794426536846,5.440751705976147
SM3,0.9705901342975206,0.820183367768595,0.8332902892561983,0.9461518595041323,0.9749806301652892,0.6752970041322314,5.604744315095594,2.2129386284317283,6.891326098768317,4.680773110431662,2.7037163547485443,5.6053602890929515,6.805921906426101,1.8325495975635193,6.633932919242611,3.5380345536205486,2.552362721585731,5.674838088191239
SM7,0.9700413223140496,0.8335162706611571,0.9400503615702479,0.5313145661157025,0.6996707128099173,0.9723334194214877,4.63015479869414,2.0936518392264185,4.549953634499421,3.8455484697160287,1.9467759259030415,7.232020007218399,3.694193767308294,2.141233119826064,5.9375092725525604,6.876470966317347,1.762778616754137,4.188638824854076
SM8,0.971849173553719,0.5590457128099173,0.9418582128099173,0.9707838326446281,0.6690018078512396,0.6825284090909091,4.593454858925857,1.8669220636087562,5.630024915074376,6.789864382444412,1.9863656383202988,4.413409706399527,3.1763817784415616,1.4533042405246437,5.550683498247913,4.4750867360476665,1.536669293016223,6.7793842026323965
