Substrate;Ligand#;Temperature/C;Hydrogen/bar;Conversion;EE;DDG
SM7;L57;50;5;0.1;0.083;0.4
SM7;L58;50;5;1;0.793;-5.8
SM7;L59;50;5;0.95;0.012;0.1
SM7;L60;50;5;0.05;0.099;-0.5
SM7;L61;50;5;0.95;0.368;2.1
SM7;L62;50;5;0.18;0.211;-1.2
SM7;L63;50;5;1;0.407;2.3
SM7;L64;50;5;0.66;0.126;0.7
SM7;L65;50;5;0.12;0.093;0.5
SM7;L66;50;5;0.49;0.048;0.3
SM7;L67;50;5;0.1;0.032;0.2
SM7;L68;50;5;0.09;0.106;0.6
SM7;L69;50;5;0.08;0.027;0.1
SM7;L70;50;5;1;0.644;4.1
SM7;L71;50;5;0.3;0.351;2
SM7;L72;50;5;0.15;0.025;0.1
SM7;L73;50;5;0.17;0.048;-0.3
SM7;L74;50;5;1;0.178;-1
SM7;L75;50;5;1;0.753;-5.3
SM7;L76;50;5;1;0.411;2.3
SM7;L77;50;5;0.79;0.493;2.9
SM7;L78;50;5;0.1;0.096;0.5
SM7;L79;50;5;1;0.186;-1
SM7;L80;50;5;0.65;0.207;-1.1
SM7;L81;50;5;0.06;0.23;-1.3
SM7;L82;50;5;1;0.701;-4.7
SM7;L83;50;5;1;0.48;2.8
SM7;L84;50;5;0.34;0.21;-1.1
SM7;L85;50;5;1;0.501;3
SM7;L86;50;5;1;0.611;3.8
SM7;L87;50;5;1;0.52;-3.1
SM7;L88;50;5;0.67;0.209;1.1
SM7;L89;50;5;0.61;0.106;0.6
SM7;L90;50;5;0.21;0.072;0.4
SM7;L91;50;5;0.01;0.262;1.4
SM7;L92;50;5;0.04;0.078;0.4
SM7;L93;50;5;0.04;0.079;0.4
SM7;L94;50;5;0.21;0.019;0.1
SM7;L95;50;5;0.98;0.409;-2.3
SM7;L96;50;5;0.99;0.744;-5.2
SM7;L97;50;5;1;0.739;-5.1
SM7;L98;50;5;0.3;0.024;-0.1
SM7;L99;50;5;0.26;0.1;0.5
SM7;L100;50;5;1;0.362;-2
SM7;L101;50;5;1;0.05;0.3
SM7;L102;50;5;0.73;0.141;-0.8
SM7;L103;50;5;1;0.071;0.4
SM7;L104;50;5;0.4;0.231;1.3
SM7;L105;50;5;0.63;0.28;1.5
SM7;L106;50;5;0.53;0.113;0.6
SM7;L107;50;5;0.86;0.04;0.2
SM7;L108;50;5;0.19;0.089;0.5
SM7;L109;50;5;0.55;0.002;0
SM7;L110;50;5;0.69;0.232;1.3
SM7;L111;50;5;0.37;0.058;0.3
SM7;L112;50;5;1;0.225;1.2
SM7;L113;50;5;0.13;0.124;-0.7
SM7;L114;50;5;0.76;0.081;-0.4
SM7;L115;50;5;0.95;0.139;0.8
SM7;L116;50;5;0.99;0.064;0.3
SM7;L117;50;5;1;0.231;1.3
SM7;L118;50;5;1;0.479;2.8
SM7;L119;50;5;1;0.406;2.3
SM7;L120;50;5;0.32;0.035;-0.2
SM7;L121;50;5;0.41;0.046;-0.2
SM7;L122;50;5;0.85;0.201;1.1
SM7;L123;50;5;0.62;0.023;0.1
SM7;L124;50;5;0.92;0.26;-1.4
SM7;L125;50;5;0.38;0.025;-0.1
SM7;L126;50;5;1;0.274;-1.5
SM7;L127;50;5;0.73;0.316;1.8
SM7;L128;50;5;1;0.627;-4
SM7;L129;50;5;0.42;0.047;-0.3
SM7;L130;50;5;0.87;0.104;0.6
SM7;L131;50;5;0.79;0.457;-2.7
SM7;L132;50;5;0.36;0.161;-0.9
SM7;L133;50;5;1;0.522;-3.1
SM7;L134;50;5;0.99;0.224;1.2
SM7;L135;50;5;0.65;0.358;2
SM7;L136;50;5;1;0.486;2.9
SM7;L137;50;5;1;0.446;2.6
SM7;L138;50;5;1;0.31;-1.7
SM7;L139;50;5;0.54;0.521;3.1
SM7;L140;50;5;0.26;0.098;0.5
SM7;L141;50;5;1;0.174;-0.9
SM7;L142;50;5;0.15;0.109;0.6
SM7;L143;50;5;1;0.379;2.1
SM7;L144;50;5;0.16;0.061;-0.3
SM7;L145;50;5;1;0.424;2.4
SM7;L146;50;5;0.53;0.074;0.4
SM7;L147;50;5;0.61;0.06;0.3
SM7;L148;50;5;0.11;0.132;0.7
SM7;L149;50;5;0.69;0.153;0.8
SM7;L150;50;5;0.21;0.18;1
SM7;L151;50;5;0.56;0.265;-1.5
SM7;L152;50;5;0.35;0.255;1.4
SM7;L153;50;5;0.91;0.32;1.8
SM7;L154;50;5;0.32;0.06;0.3
SM7;L155;50;5;0.55;0.049;0.3
SM7;L156;50;5;1;0.272;1.5
SM7;L157;50;5;1;0.013;-0.1
SM7;L158;50;5;0.08;0.148;0.8
SM7;L159;50;5;0.87;0.083;0.4
SM7;L160;50;5;0.75;0.064;0.3
SM7;L161;50;5;0.37;0.105;0.6
SM7;L162;50;5;0.89;0.071;0.4
SM7;L163;50;5;0.96;0.382;-2.2
SM7;L164;50;5;1;0.153;-0.8
SM7;L165;50;5;0.4;0.065;0.3
SM7;L166;50;5;0.18;0.024;0.1
SM7;L167;50;5;0.45;0.031;-0.2
SM7;L168;50;5;1;0.461;2.7
SM7;L169;50;5;1;0.037;0.2
SM7;L170;50;5;0.5;0.024;0.1
SM7;L171;50;5;1;0.579;3.6
SM7;L172;50;5;0.47;0.215;-1.2
SM7;L173;50;5;0.43;0.131;0.7
SM7;L174;50;5;1;0.084;0.5
SM7;L175;50;5;1;0.062;-0.3
SM7;L176;50;5;0.99;0.579;3.6
SM7;L177;50;5;0.44;0.06;0.3
SM7;L178;50;5;0.56;0.12;0.6
SM7;L179;50;5;0.34;0.069;0.4
SM7;L180;50;5;0.27;0.069;0.4
SM7;L181;50;5;0.44;0.075;0.4
SM7;L182;50;5;0.84;0.551;3.3
SM7;L183;50;5;0.76;0.12;0.6
SM7;L184;50;5;0.85;0.029;-0.2
SM7;L185;50;5;0.16;0.366;-2.1
SM7;L186;50;5;0.05;0.062;-0.3
SM7;L187;50;5;0.56;0.012;0.1
SM7;L188;50;5;1;0.414;2.4
SM7;L189;50;5;1;0.177;1
SM7;L190;50;5;0.97;0.091;0.5
SM7;L191;50;5;1;0.357;-2
SM7;L192;50;5;1;0.586;-3.6
SM8;L1;50;5;1;0.608;3.8
SM8;L2;50;5;1;0.158;-0.9
SM8;L3;50;5;1;0.079;0.4
SM8;L4;50;5;0.58;0.165;-0.9
SM8;L5;50;5;0.91;0.107;-0.6
SM8;L6;50;5;1;0.764;5.4
SM8;L7;50;5;1;0.631;4
SM8;L8;50;5;1;0.217;-1.2
SM8;L9;50;5;1;0.443;-2.6
SM8;L10;50;5;1;0.032;0.2
SM8;L11;50;5;1;0.251;-1.4
SM8;L12;50;5;1;0.284;1.6
SM8;L13;50;5;0.1;0.09;0.5
SM8;L14;50;5;0.93;0.021;-0.1
SM8;L15;50;5;1;0.608;-3.8
SM8;L16;50;5;1;0.419;-2.4
SM8;L17;50;5;0.84;0.068;-0.4
SM8;L18;50;5;1;0.899;-7.9
SM8;L19;50;5;1;0.492;-2.9
SM8;L20;50;5;1;0.199;1.1
SM8;L21;50;5;0.15;0.08;-0.4
SM8;L22;50;5;0.67;0.465;2.7
SM8;L23;50;5;0.52;0.435;2.5
SM8;L24;50;5;1;0.125;0.7
SM8;L25;50;5;1;0.328;1.8
SM8;L26;50;5;1;0.566;3.4
SM8;L27;50;5;1;0.594;-3.7
SM8;L28;50;5;1;0.486;-2.9
SM8;L29;50;5;1;0.397;-2.3
SM8;L30;50;5;1;0.112;-0.6
SM8;L31;50;5;1;0.054;-0.3
SM8;L32;50;5;1;0.038;0.2
SM8;L33;50;5;0.24;0.201;-1.1
SM8;L34;50;5;1;0.027;0.1
SM8;L35;50;5;0.37;0.114;-0.6
SM8;L36;50;5;0.54;0.309;-1.7
SM8;L37;50;5;0.99;0.095;0.5
SM8;L38;50;5;0.66;0.158;0.9
SM8;L39;50;5;0.88;0.149;-0.8
SM8;L40;50;5;0.44;0.214;-1.2
SM8;L41;50;5;0.26;0.036;0.2
SM8;L42;50;5;0.97;0.149;-0.8
SM8;L43;50;5;0.63;0.108;-0.6
SM8;L44;50;5;1;0.236;1.3
SM8;L45;50;5;0.87;0.115;0.6
SM8;L46;50;5;0.34;0.012;0.1
SM8;L47;50;5;0.45;0.01;0.1
SM8;L48;50;5;0.76;0.187;-1
SM8;L49;50;5;0.62;0.178;-1
SM8;L50;50;5;0.29;0.139;0.8
SM8;L51;50;5;1;0.149;-0.8
SM8;L52;50;5;0.8;0.087;-0.5
SM8;L53;50;5;1;0.011;-0.1
SM8;L54;50;5;1;0.198;1.1
SM8;L55;50;5;1;0.562;3.4
SM8;L56;50;5;1;0.467;-2.7
SM8;L57;50;5;0.86;0.014;0.1
SM8;L58;50;5;1;0.586;3.6
SM8;L59;50;5;1;0.012;-0.1
SM8;L60;50;5;0.23;0.308;-1.7
SM8;L61;50;5;0.75;0.071;-0.4
SM8;L62;50;5;0.23;0.318;1.8
SM8;L63;50;5;1;0.198;-1.1
SM8;L64;50;5;0.39;0.422;-2.4
SM8;L65;50;5;1;0.37;-2.1
SM8;L66;50;5;1;0.004;0
SM8;L67;50;5;0.9;0.234;1.3
SM8;L68;50;5;0.95;0.267;1.5
SM8;L69;50;5;0.8;0.287;1.6
SM8;L70;50;5;1;0.184;-1
SM8;L71;50;5;0.34;0.145;-0.8
SM8;L72;50;5;0.23;0.011;-0.1
SM8;L73;50;5;0.23;0.132;-0.7
SM8;L74;50;5;1;0.112;0.6
SM8;L75;50;5;1;0.196;1.1
SM8;L76;50;5;1;0.535;-3.2
SM8;L77;50;5;1;0.221;-1.2
SM8;L78;50;5;1;0.189;1
SM8;L79;50;5;1;0.095;0.5
SM8;L80;50;5;1;0.564;-3.4
SM8;L81;50;5;0.02;0.071;-0.4
SM8;L82;50;5;1;0.463;2.7
SM8;L83;50;5;1;0.079;-0.4
SM8;L84;50;5;1;0.237;-1.3
SM8;L85;50;5;1;0.408;-2.3
SM8;L86;50;5;1;0.522;-3.1
SM8;L87;50;5;1;0.385;-2.2
SM8;L88;50;5;0.46;0.117;0.6
SM8;L89;50;5;0.89;0.167;-0.9
SM8;L90;50;5;1;0.023;-0.1
SM8;L91;50;5;0.22;0.036;0.2
SM8;L92;50;5;0.55;0.002;0
SM8;L93;50;5;0.38;0.043;-0.2
SM8;L94;50;5;1;0.019;0.1
SM8;L95;50;5;1;0.275;1.5
SM8;L96;50;5;1;0.367;2.1
SM8;L97;50;5;1;0.558;-3.4
SM8;L98;50;5;1;0.24;-1.3
SM8;L99;50;5;0.42;0.567;-3.5
SM8;L100;50;5;1;0.732;-5
SM8;L101;50;5;1;0.017;0.1
SM8;L102;50;5;1;0.591;-3.6
SM8;L103;50;5;1;0.766;-5.4
SM8;L104;50;5;0.47;0.245;-1.3
SM8;L105;50;5;0.56;0.117;0.6
SM8;L106;50;5;0.35;0.147;0.8
SM8;L107;50;5;1;0.026;-0.1
SM8;L108;50;5;1;0.075;-0.4
SM8;L109;50;5;1;0.14;0.8
SM8;L110;50;5;1;0.245;-1.3
SM8;L111;50;5;0.92;0.05;0.3
SM8;L112;50;5;1;0.109;-0.6
SM8;L113;50;5;0.77;0.506;-3
SM8;L114;50;5;0.65;0.094;-0.5
SM8;L115;50;5;1;0.043;0.2
SM8;L116;50;5;1;0.012;0.1
SM8;L117;50;5;1;0.178;-1
SM8;L118;50;5;1;0.341;1.9
SM8;L119;50;5;1;0.184;1
SM8;L120;50;5;0.37;0.022;0.1
SM8;L121;50;5;1;0.272;-1.5
SM8;L122;50;5;0.97;0.25;1.4
SM8;L123;50;5;0.08;0.003;0
SM8;L124;50;5;0.37;0.07;-0.4
SM8;L125;50;5;1;0.216;-1.2
SM8;L126;50;5;1;0.325;1.8
SM8;L127;50;5;0.22;0.13;-0.7
SM8;L128;50;5;1;0.449;-2.6
SM8;L129;50;5;1;0.074;-0.4
SM8;L130;50;5;0.83;0.105;0.6
SM8;L131;50;5;1;0.476;2.8
SM8;L132;50;5;0.28;0.242;1.3
SM8;L133;50;5;1;0.011;-0.1
SM8;L134;50;5;1;0.294;1.6
SM8;L135;50;5;0.28;0.106;-0.6
SM8;L136;50;5;1;0.058;0.3
SM8;L137;50;5;1;0.054;0.3
SM8;L138;50;5;1;0.382;-2.2
SM8;L139;50;5;1;0.193;1.1
SM8;L140;50;5;0.36;0.068;-0.4
SM8;L141;50;5;1;0.24;-1.3
SM8;L142;50;5;0.12;0.043;-0.2
SM8;L143;50;5;1;0.232;1.3
SM8;L144;50;5;0.31;0.288;1.6
SM8;L145;50;5;1;0.269;1.5
SM8;L146;50;5;1;0.014;0.1
SM8;L147;50;5;0.45;0.079;0.4
SM8;L148;50;5;0.03;0.179;1
SM8;L149;50;5;0.9;0.119;0.6
SM8;L150;50;5;0.31;0.146;-0.8
SM8;L151;50;5;0.31;0.021;-0.1
SM8;L152;50;5;0.01;0.135;-0.7
SM8;L153;50;5;1;0.121;-0.7
SM8;L154;50;5;0.3;0;0
SM8;L155;50;5;1;0.175;-1
SM8;L156;50;5;1;0.397;2.3
SM8;L157;50;5;1;0.436;-2.5
SM8;L158;50;5;0.03;0.004;0
SM8;L159;50;5;1;0.073;-0.4
SM8;L160;50;5;1;0.006;0
SM8;L161;50;5;0.88;0.011;0.1
SM8;L162;50;5;1;0.006;0
SM8;L163;50;5;1;0.329;-1.8
SM8;L164;50;5;1;0.29;1.6
SM8;L165;50;5;1;0.302;1.7
SM8;L166;50;5;0.18;0.109;-0.6
SM8;L167;50;5;0.2;0.182;1
SM8;L168;50;5;1;0.541;3.3
SM8;L169;50;5;1;0.113;-0.6
SM8;L170;50;5;0.2;0.269;-1.5
SM8;L171;50;5;1;0.356;2
SM8;L172;50;5;0.9;0.244;1.3
SM8;L173;50;5;0.11;0.007;0
SM8;L174;50;5;1;0.217;-1.2
SM8;L175;50;5;1;0.056;-0.3
SM8;L176;50;5;0.26;0.388;2.2
SM8;L177;50;5;0.9;0.128;-0.7
SM8;L178;50;5;0.81;0.107;0.6
SM8;L179;50;5;0.89;0.006;0
SM8;L180;50;5;1;0.3;1.7
SM8;L181;50;5;0.74;0.115;-0.6
SM8;L182;50;5;0.13;0.226;1.2
SM8;L183;50;5;1;0.548;3.3
SM8;L184;50;5;1;0.12;-0.6
SM8;L185;50;5;0.19;0.381;2.2
SM8;L186;50;5;0;0.995;14.8
SM8;L187;50;5;0.71;0.154;-0.8
SM8;L188;50;5;1;0.155;-0.8
SM8;L189;50;5;1;0.477;-2.8
SM8;L190;50;5;1;0.04;-0.2
SM8;L191;50;5;1;0.451;-2.6
SM8;L192;50;5;1;0.095;0.5
