Substrate;Ligand#;Temperature/C;Hydrogen/bar;Conversion;EE;DDG
SM1;L127;25;5;0;0;0
SM1;L128;25;5;1;0.008;0
SM1;L129;25;5;0.91;0.279;-1.4
SM1;L130;25;5;1;0.882;6.9
SM1;L131;25;5;0.44;0.59;3.4
SM1;L132;25;5;0.98;0.687;4.2
SM1;L133;25;5;1;0.898;7.2
SM1;L134;25;5;1;0.755;4.9
SM1;L135;25;5;0.99;0.852;-6.3
SM1;L136;25;5;1;0.526;2.9
SM1;L137;25;5;1;0.331;1.7
SM1;L138;25;5;1;0.949;9
SM1;L139;25;5;1;0.958;9.5
SM1;L140;25;5;0.09;0.086;-0.4
SM1;L141;25;5;1;0.98;-11.4
SM1;L142;25;5;1;0.111;-0.6
SM1;L143;25;5;1;0.89;-7
SM1;L144;25;5;1;0.692;4.2
SM1;L145;25;5;1;0.113;-0.6
SM1;L146;25;5;0.13;0.052;-0.3
SM1;L147;25;5;1;0.264;1.3
SM1;L148;25;5;0.04;0.275;1.4
SM1;L149;25;5;1;0.477;2.6
SM1;L150;25;5;0;0;0
SM1;L151;25;5;0;0;0
SM1;L152;25;5;0.05;0.995;14.8
SM1;L153;25;5;1;0.95;9.1
SM1;L154;25;5;0.03;0.387;-2
SM1;L155;25;5;1;0.401;2.1
SM1;L156;25;5;1;0.353;-1.8
SM1;L157;25;5;1;0.957;-9.5
SM1;L158;25;5;0;0;0
SM1;L159;25;5;1;0.795;5.4
SM1;L160;25;5;1;0.568;3.2
SM1;L161;25;5;0;0;0
SM1;L162;25;5;0.28;0.032;-0.2
SM1;L163;25;5;1;0.78;5.2
SM1;L164;25;5;0.16;0.279;1.4
SM1;L165;25;5;1;0.105;-0.5
SM1;L166;25;5;0.07;0.102;-0.5
SM1;L167;25;5;1;0.974;-10.7
SM1;L168;25;5;0.05;0.995;14.8
SM1;L169;25;5;1;0.038;-0.2
SM1;L170;25;5;1;0.966;10.1
SM1;L171;25;5;1;0.179;0.9
SM1;L172;25;5;0.53;0.615;-3.6
SM1;L173;25;5;0.73;0.801;5.5
SM1;L174;25;5;1;0.137;0.7
SM1;L175;25;5;0.32;0.823;-5.8
SM1;L176;25;5;0.11;0.699;4.3
SM1;L177;25;5;0.87;0.39;-2
SM1;L178;25;5;1;0.174;-0.9
SM1;L179;25;5;0.18;0.155;0.8
SM1;L180;25;5;1;0.388;2
SM1;L181;25;5;1;0.591;3.4
SM1;L182;25;5;0.65;0.237;1.2
SM1;L183;25;5;1;0.038;-0.2
SM1;L184;25;5;0.98;0.051;-0.3
SM1;L185;25;5;0.2;0.128;0.6
SM1;L186;25;5;0.02;0.995;14.8
SM1;L187;25;5;1;0.803;-5.5
SM1;L188;25;5;1;0.535;3
SM1;L189;25;5;1;0.167;0.8
SM1;L190;25;5;0.48;0.313;1.6
SM1;L191;25;5;0.13;0.062;0.3
SM1;L192;25;5;0.07;0.524;2.9
SM2;L1;25;5;1;0.001;0
SM2;L2;25;5;1;0.604;3.5
SM2;L3;25;5;1;0.325;1.7
SM2;L4;25;5;1;0.164;-0.8
SM2;L5;25;5;1;0.196;1
SM2;L6;25;5;1;0.865;6.5
SM2;L7;25;5;1;0.223;-1.1
SM2;L8;25;5;1;0.023;-0.1
SM2;L9;25;5;1;0.135;0.7
SM2;L10;25;5;1;0.396;2.1
SM2;L11;25;5;1;0.555;3.1
SM2;L12;25;5;1;0.647;3.8
SM2;L13;25;5;0.95;0.251;-1.3
SM2;L14;25;5;1;0.165;-0.8
SM2;L15;25;5;1;0.073;-0.4
SM2;L16;25;5;1;0.203;1
SM2;L17;25;5;0.54;0.061;-0.3
SM2;L18;25;5;1;0.526;-2.9
SM2;L19;25;5;0.85;0.396;-2.1
SM2;L20;25;5;1;0.897;7.2
SM2;L21;25;5;1;0.618;-3.6
SM2;L22;25;5;1;0.821;5.8
SM2;L23;25;5;1;0.88;6.8
SM2;L24;25;5;0;0;0
SM2;L25;25;5;1;0.995;-14.8
SM2;L26;25;5;1;0.995;-14.8
SM2;L27;25;5;1;0.185;0.9
SM2;L28;25;5;1;0.926;8.1
SM2;L29;25;5;1;0.12;0.6
SM2;L30;25;5;1;0.995;-14.8
SM2;L31;25;5;1;0.076;0.4
SM2;L32;25;5;1;0.232;-1.2
SM2;L33;25;5;0.99;0.072;-0.4
SM2;L34;25;5;1;0.109;-0.5
SM2;L35;25;5;1;0.502;2.7
SM2;L36;25;5;1;0.323;1.7
SM2;L37;25;5;1;0.706;-4.4
SM2;L38;25;5;1;0.963;-9.8
SM2;L39;25;5;1;0.697;4.3
SM2;L40;25;5;1;0.182;0.9
SM2;L41;25;5;1;0.976;-10.9
SM2;L42;25;5;1;0.821;5.8
SM2;L43;25;5;1;0.969;-10.3
SM2;L44;25;5;1;0.084;0.4
SM2;L45;25;5;1;0.578;-3.3
SM2;L46;25;5;1;0.868;-6.6
SM2;L47;25;5;1;0.345;1.8
SM2;L48;25;5;1;0.327;1.7
SM2;L49;25;5;1;0.832;5.9
SM2;L50;25;5;1;0.995;-14.8
SM2;L51;25;5;1;0.767;5
SM2;L52;25;5;1;0.556;3.1
SM2;L53;25;5;1;0.052;0.3
SM2;L54;25;5;1;0.69;-4.2
SM2;L55;25;5;1;0.995;14.8
SM2;L56;25;5;1;0.995;-14.8
SM2;L57;25;5;0;0;0
SM2;L58;25;5;0.47;0.149;-0.7
SM2;L59;25;5;1;0.861;-6.4
SM2;L60;25;5;0.93;0.652;3.9
SM2;L61;25;5;0.16;0.364;1.9
SM2;L62;25;5;0.36;0.785;5.2
SM2;L63;25;5;1;0.137;-0.7
SM2;L64;25;5;1;0.995;-14.8
SM2;L65;25;5;1;0.79;5.3
SM2;L66;25;5;1;0.664;4
SM2;L67;25;5;1;0.995;14.8
SM2;L68;25;5;1;0.995;14.8
SM2;L69;25;5;1;0.995;14.8
SM2;L70;25;5;1;0.995;-14.8
SM2;L71;25;5;0.05;0.995;-14.8
SM2;L72;25;5;0.12;0.995;-14.8
SM2;L73;25;5;0.29;0.118;-0.6
SM2;L74;25;5;1;0.848;-6.2
SM2;L75;25;5;1;0.995;14.8
SM2;L76;25;5;1;0.422;2.2
SM2;L77;25;5;1;0.596;-3.4
SM2;L78;25;5;1;0.853;-6.3
SM2;L79;25;5;1;0.365;1.9
SM2;L80;25;5;1;0.449;2.4
SM2;L81;25;5;0.11;0.995;-14.8
SM2;L82;25;5;1;0.829;-5.9
SM2;L83;25;5;0.14;0.17;-0.9
SM2;L84;25;5;1;0.995;-14.8
SM2;L85;25;5;1;0.591;3.4
SM2;L86;25;5;1;0.481;-2.6
SM2;L87;25;5;1;0.995;-14.8
SM2;L88;25;5;0;0;0
SM2;L89;25;5;1;0.244;1.2
SM2;L90;25;5;1;0.086;0.4
SM2;L91;25;5;1;0.105;-0.5
SM2;L92;25;5;1;0.37;1.9
SM2;L93;25;5;1;0.284;1.4
SM2;L94;25;5;1;0.468;-2.5
SM2;L95;25;5;1;0.517;2.8
SM2;L96;25;5;1;0.303;1.6
SM2;L97;25;5;1;0.071;-0.4
SM2;L98;25;5;1;0.881;-6.8
SM2;L99;25;5;0.17;0.269;-1.4
SM2;L100;25;5;1;0.378;2
SM2;L101;25;5;1;0.046;-0.2
SM2;L102;25;5;1;0.866;-6.5
SM2;L103;25;5;0.75;0.019;-0.1
SM2;L104;25;5;1;0.938;-8.5
SM2;L105;25;5;1;0.739;-4.7
SM2;L106;25;5;1;0.883;6.9
SM2;L107;25;5;0.92;0.029;-0.1
SM2;L108;25;5;1;0.779;-5.2
SM2;L109;25;5;0.27;0.587;3.3
SM2;L110;25;5;1;0.995;-14.8
SM2;L111;25;5;0.8;0.86;6.4
SM2;L112;25;5;1;0.113;0.6
SM2;L113;25;5;1;0.995;14.8
SM2;L114;25;5;1;0.704;4.3
SM2;L115;25;5;0.48;0.42;-2.2
SM2;L116;25;5;1;0.036;-0.2
SM2;L117;25;5;1;0.601;3.4
SM2;L118;25;5;1;0.035;-0.2
SM2;L119;25;5;1;0.279;-1.4
SM2;L120;25;5;1;0.631;3.7
SM2;L121;25;5;1;0.935;8.4
SM2;L122;25;5;1;0.472;2.5
SM2;L123;25;5;1;0.958;9.5
SM2;L124;25;5;0.68;0.244;1.2
SM2;L125;25;5;1;0.318;-1.6
SM2;L126;25;5;0.99;0.44;-2.3
SM2;L127;25;5;0.05;0.995;14.8
SM2;L128;25;5;1;0.651;-3.9
SM2;L129;25;5;1;0.559;-3.1
SM2;L130;25;5;1;0.878;6.8
SM2;L131;25;5;0.07;0.248;1.3
SM2;L132;25;5;1;0.805;5.5
SM2;L133;25;5;1;0.963;9.8
SM2;L134;25;5;1;0.985;12.1
SM2;L135;25;5;1;0.991;-13.4
SM2;L136;25;5;1;0.589;3.4
SM2;L137;25;5;0.99;0.727;4.6
SM2;L138;25;5;1;0.967;10.1
SM2;L139;25;5;1;0.953;9.2
SM2;L140;25;5;0.13;0.007;0
SM2;L141;25;5;1;0.976;-10.9
SM2;L142;25;5;0.61;0.317;1.6
SM2;L143;25;5;1;0.51;-2.8
SM2;L144;25;5;1;0.807;5.5
SM2;L145;25;5;1;0.08;-0.4
SM2;L146;25;5;0.1;0.416;2.2
SM2;L147;25;5;1;0.309;1.6
SM2;L148;25;5;0.2;0.995;14.8
SM2;L149;25;5;1;0.544;3
SM2;L150;25;5;0;0;0
SM2;L151;25;5;0.06;0.995;14.8
SM2;L152;25;5;0;0;0
SM2;L153;25;5;1;0.989;12.9
SM2;L154;25;5;0;0;0
SM2;L155;25;5;1;0.083;0.4
SM2;L156;25;5;1;0.394;-2.1
SM2;L157;25;5;1;0.947;-8.9
SM2;L158;25;5;0;0;0
SM2;L159;25;5;1;0.81;5.6
SM2;L160;25;5;1;0.259;1.3
SM2;L161;25;5;0;0;0
SM2;L162;25;5;1;0.04;-0.2
SM2;L163;25;5;1;0.477;2.6
SM2;L164;25;5;1;0.197;-1
SM2;L165;25;5;1;0.037;-0.2
SM2;L166;25;5;1;0.046;-0.2
SM2;L167;25;5;1;0.995;-14.8
SM2;L168;25;5;0.19;0.76;4.9
SM2;L169;25;5;0.99;0.056;0.3
SM2;L170;25;5;1;0.97;10.4
SM2;L171;25;5;1;0.736;4.7
SM2;L172;25;5;0.39;0.644;-3.8
SM2;L173;25;5;1;0.024;-0.1
SM2;L174;25;5;1;0.022;0.1
SM2;L175;25;5;0;0;0
SM2;L176;25;5;0;0;0
SM2;L177;25;5;1;0.9;-7.3
SM2;L178;25;5;1;0.187;-0.9
SM2;L179;25;5;0;0;0
SM2;L180;25;5;0.98;0.54;3
SM2;L181;25;5;1;0.643;3.8
SM2;L182;25;5;1;0.487;2.6
SM2;L183;25;5;1;0.005;0
SM2;L184;25;5;1;0.016;-0.1
SM2;L185;25;5;0.67;0.19;1
SM2;L186;25;5;0.09;0.207;1
SM2;L187;25;5;1;0.835;-6
SM2;L188;25;5;1;0.266;1.4
SM2;L189;25;5;1;0.027;0.1
SM2;L190;25;5;0.98;0.01;0
SM2;L191;25;5;0.29;0.485;2.6
SM2;L192;25;5;0.07;0.027;-0.1
SM3;L1;25;5;1;0.317;1.6
SM3;L2;25;5;1;0.072;0.4
SM3;L3;25;5;1;0.557;3.1
SM3;L4;25;5;1;0.274;-1.4
SM3;L5;25;5;1;0.49;-2.7
SM3;L6;25;5;1;0.512;2.8
SM3;L7;25;5;1;0.244;-1.2
SM3;L8;25;5;0.49;0.008;0
SM3;L9;25;5;1;0.204;1
SM3;L10;25;5;1;0.073;-0.4
SM3;L11;25;5;1;0.022;-0.1
SM3;L12;25;5;1;0.622;3.6
SM3;L13;25;5;0.87;0.443;-2.4
SM3;L14;25;5;0.85;0.316;-1.6
SM3;L15;25;5;1;0.188;0.9
SM3;L16;25;5;1;0.1;-0.5
SM3;L17;25;5;1;0.01;0
SM3;L18;25;5;1;0.177;-0.9
SM3;L19;25;5;0.89;0.503;-2.7
SM3;L20;25;5;0.45;0.605;3.5
SM3;L21;25;5;0.04;0.249;-1.3
SM3;L22;25;5;0.96;0.877;6.8
SM3;L23;25;5;0.23;0.794;5.4
SM3;L24;25;5;0.26;0.672;-4
SM3;L25;25;5;1;0.699;-4.3
SM3;L26;25;5;1;0.765;-5
SM3;L27;25;5;1;0.14;0.7
SM3;L28;25;5;0.68;0.329;1.7
SM3;L29;25;5;1;0.22;-1.1
SM3;L30;25;5;1;0.74;-4.7
SM3;L31;25;5;0.18;0.307;-1.6
SM3;L32;25;5;0.84;0.216;-1.1
SM3;L33;25;5;1;0.049;-0.2
SM3;L34;25;5;1;0.185;-0.9
SM3;L35;25;5;1;0.323;1.7
SM3;L36;25;5;1;0.313;1.6
SM3;L37;25;5;1;0.572;-3.2
SM3;L38;25;5;1;0.877;-6.8
SM3;L39;25;5;0.85;0.257;1.3
SM3;L40;25;5;0.57;0.109;0.5
SM3;L41;25;5;0.3;0.03;-0.1
SM3;L42;25;5;1;0.709;4.4
SM3;L43;25;5;0.48;0.435;-2.3
SM3;L44;25;5;1;0.759;4.9
SM3;L45;25;5;1;0.435;-2.3
SM3;L46;25;5;0.41;0.372;1.9
SM3;L47;25;5;0.12;0.482;2.6
SM3;L48;25;5;1;0.518;2.8
SM3;L49;25;5;1;0.806;5.5
SM3;L50;25;5;0.34;0.238;-1.2
SM3;L51;25;5;1;0.846;6.2
SM3;L52;25;5;1;0.466;2.5
SM3;L53;25;5;0.89;0.258;1.3
SM3;L54;25;5;0.12;0.134;-0.7
SM3;L55;25;5;1;0.995;14.8
SM3;L56;25;5;1;0.866;-6.5
SM3;L57;25;5;0.05;0.387;-2
SM3;L58;25;5;0.88;0.955;-9.3
SM3;L59;25;5;0.3;0.299;-1.5
SM3;L60;25;5;0.55;0.47;-2.5
SM3;L61;25;5;0.29;0.421;2.2
SM3;L62;25;5;0.93;0.029;-0.1
SM3;L63;25;5;1;0.789;-5.3
SM3;L64;25;5;1;0.995;-14.8
SM3;L65;25;5;1;0.902;7.4
SM3;L66;25;5;1;0.648;3.8
SM3;L67;25;5;1;0.928;8.1
SM3;L68;25;5;1;0.934;8.4
SM3;L69;25;5;1;0.955;9.3
SM3;L70;25;5;1;0.605;-3.5
SM3;L71;25;5;0.03;0.147;0.7
SM3;L72;25;5;0.12;0.771;-5.1
SM3;L73;25;5;0.02;0.384;2
SM3;L74;25;5;1;0.972;-10.5
SM3;L75;25;5;1;0.712;4.4
SM3;L76;25;5;1;0.179;0.9
SM3;L77;25;5;1;0.892;-7.1
SM3;L78;25;5;1;0.855;-6.3
SM3;L79;25;5;1;0.559;3.1
SM3;L80;25;5;1;0.731;4.6
SM3;L81;25;5;0.03;0.289;1.5
SM3;L82;25;5;1;0.929;-8.2
SM3;L83;25;5;0.5;0.13;-0.6
SM3;L84;25;5;1;0.988;-12.7
SM3;L85;25;5;1;0.356;1.8
SM3;L86;25;5;1;0.32;1.6
SM3;L87;25;5;1;0.63;-3.7
SM3;L88;25;5;0.02;0.219;-1.1
SM3;L89;25;5;1;0.236;1.2
SM3;L90;25;5;0.46;0.039;-0.2
SM3;L91;25;5;0.58;0.011;0.1
SM3;L92;25;5;0.47;0.079;-0.4
SM3;L93;25;5;0.42;0.056;-0.3
SM3;L94;25;5;0.3;0.255;-1.3
SM3;L95;25;5;1;0.895;7.2
SM3;L96;25;5;1;0.932;8.3
SM3;L97;25;5;1;0.197;-1
SM3;L98;25;5;1;0.946;-8.9
SM3;L99;25;5;0.12;0.254;-1.3
SM3;L100;25;5;1;0.274;-1.4
SM3;L101;25;5;0.31;0.204;-1
SM3;L102;25;5;1;0.95;-9.1
SM3;L103;25;5;0.99;0.241;-1.2
SM3;L104;25;5;1;0.514;-2.8
SM3;L105;25;5;0.4;0.448;-2.4
SM3;L106;25;5;1;0.814;5.6
SM3;L107;25;5;0.11;0.003;0
SM3;L108;25;5;1;0.88;-6.8
SM3;L109;25;5;0.14;0.109;0.5
SM3;L110;25;5;1;0.989;-12.9
SM3;L111;25;5;1;0.929;8.2
SM3;L112;25;5;1;0.078;-0.4
SM3;L113;25;5;1;0.935;8.4
SM3;L114;25;5;0.37;0.526;2.9
SM3;L115;25;5;0.87;0.277;-1.4
SM3;L116;25;5;0.36;0.073;-0.4
SM3;L117;25;5;1;0.482;2.6
SM3;L118;25;5;1;0.504;-2.7
SM3;L119;25;5;0.99;0.681;-4.1
SM3;L120;25;5;1;0.515;2.8
SM3;L121;25;5;1;0.57;3.2
SM3;L122;25;5;1;0.346;1.8
SM3;L123;25;5;1;0.841;6.1
SM3;L124;25;5;1;0.254;-1.3
SM3;L125;25;5;1;0.087;-0.4
SM3;L126;25;5;0.71;0.176;-0.9
SM3;L127;25;5;0.04;0.235;-1.2
SM3;L128;25;5;1;0.168;-0.8
SM3;L129;25;5;1;0.287;-1.5
SM3;L130;25;5;1;0.779;5.2
