Substrate;Ligand#;Class;Conversion;EE;DDG
SM7;L26;PP;1;0.67;-4.4
SM8;L26;PP;1;0.566;3.4
SM1;L27;PP;1;0.072;0.4
SM2;L27;PP;0.489274601;0.278;1.4
SM3;L27;PP;1;0.101;0.5
SM7;L27;PP;1;0.666;4.3
SM8;L27;PP;1;0.594;-3.7
SM1;L28;PP;0.385737682;0.324;1.7
SM2;L28;PP;0.27226845;0.995;14.8
SM3;L28;PP;0.55441713;0.569;3.2
SM7;L28;PP;1;0.784;5.7
SM8;L28;PP;1;0.486;-2.9
SM1;L29;PP;1;0.143;-0.7
SM2;L29;PP;0.364809912;0.012;0.1
SM3;L29;PP;1;0.075;-0.4
SM7;L29;PP;1;0.83;6.4
SM8;L29;PP;1;0.397;-2.3
SM1;L30;PP;1;0.853;-6.3
SM2;L30;PP;1;0.995;-14.8
SM3;L30;PP;1;0.806;-5.5
SM7;L30;PP;1;0.653;-4.2
SM8;L30;PP;1;0.112;-0.6
SM1;L31;PP;0.103466897;0.068;-0.3
SM2;L31;PP;0.982066139;0.142;-0.7
SM3;L31;PP;0.358846612;0.709;-4.4
SM7;L31;PP;1;0.821;-6.2
SM8;L31;PP;1;0.054;-0.3
SM1;L32;PP;0.712081497;0.192;-1
SM2;L32;PP;1;0.243;-1.2
SM3;L32;PP;0.294587656;0.263;-1.3
SM7;L32;PP;0.618124212;0.218;-1.2
SM8;L32;PP;1;0.038;0.2
SM1;L33;PP;0.057250914;0.362;-1.9
SM2;L33;PP;0.07230677;0.995;-14.8
SM3;L33;PP;0.016008526;0.139;-0.7
SM7;L33;PP;0.117536356;0.236;-1.3
SM8;L33;PP;0.243075826;0.201;-1.1
SM1;L34;PP;0.505074731;0.181;-0.9
SM2;L34;PP;1;0.08;-0.4
SM3;L34;PP;1;0.226;-1.1
SM7;L34;PP;0.666893635;0.174;-0.9
SM8;L34;PP;1;0.027;0.1
SM1;L35;PP;1;0.659;3.9
SM2;L35;PP;1;0.483;2.6
SM3;L35;PP;1;0.294;1.5
SM7;L35;PP;0.752489618;0.065;0.3
SM8;L35;PP;0.372627866;0.114;-0.6
SM1;L36;PP;1;0.443;2.4
SM2;L36;PP;1;0.314;1.6
SM3;L36;PP;1;0.294;1.5
SM7;L36;PP;0.817446965;0.235;1.3
SM8;L36;PP;0.539225102;0.309;-1.7
SM1;L37;PP;0.961105723;0.571;-3.2
SM2;L37;PP;1;0.644;-3.8
SM3;L37;PP;1;0.596;-3.4
SM7;L37;PP;0.578653051;0.023;-0.1
SM8;L37;PP;0.99373986;0.095;0.5
SM1;L38;PP;0.883182099;0.932;-8.3
SM2;L38;PP;1;0.995;-14.8
SM3;L38;PP;1;0.903;-7.4
SM7;L38;PP;0.634574057;0.098;-0.5
SM8;L38;PP;0.658782874;0.158;0.9
SM1;L39;PP;0.148472618;0.657;3.9
SM2;L39;PP;1;0.731;4.6
SM3;L39;PP;1;0.655;3.9
SM7;L39;PP;0.911417782;0.231;1.3
SM8;L39;PP;0.881664979;0.149;-0.8
SM1;L40;PP;0.641877426;0.227;1.1
SM2;L40;PP;0.977403457;0.184;0.9
SM3;L40;PP;0.295331511;0.079;0.4
SM7;L40;PP;0.310492631;0.173;0.9
SM8;L40;PP;0.440302253;0.214;-1.2
SM1;L41;PP;0.13558114;0.875;-6.7
SM2;L41;PP;0.794622218;0.932;-8.3
SM3;L41;PP;0.792501889;0.931;-8.3
SM7;L41;PP;0.421084126;0.3;-1.7
SM8;L41;PP;0.261567212;0.036;0.2
SM1;L42;PP;0.726624296;0.826;5.8
SM2;L42;PP;1;0.791;5.3
SM3;L42;PP;1;0.672;4
SM7;L42;PP;1;0.199;-1.1
SM8;L42;PP;0.969386214;0.149;-0.8
SM1;L43;PP;0.150907562;0.995;-14.8
SM2;L43;PP;1;0.952;-9.2
SM3;L43;PP;0.607253258;0.86;-6.4
SM7;L43;PP;0.941777518;0.332;-1.9
SM8;L43;PP;0.631480918;0.108;-0.6
SM1;L44;PP;0.137839724;0.05;-0.2
SM2;L44;PP;1;0.08;0.4
SM3;L44;PP;0.346980426;0.247;1.3
SM7;L44;PP;0.102815157;0.107;-0.6
SM8;L44;PP;1;0.236;1.3
SM1;L45;PP;0.720528209;0.444;-2.4
SM2;L45;PP;1;0.634;-3.7
SM3;L45;PP;1;0.47;-2.5
SM7;L45;PP;0.716082971;0.16;-0.9
SM8;L45;PP;0.872085795;0.115;0.6
SM1;L46;PP;0.026576281;0.606;-3.5
SM2;L46;PP;1;0.838;-6
SM3;L46;PP;0.855345407;0.837;-6
SM7;L46;PP;0.930923785;0.351;-2
SM8;L46;PP;0.343582683;0.012;0.1
SM1;L47;PP;0.306449507;0.247;1.3
SM2;L47;PP;0.772561993;0.326;1.7
SM3;L47;PP;0.482685094;0.374;1.9
SM7;L47;PP;0.925535424;0.352;-2
SM8;L47;PP;0.447375582;0.01;0.1
SM1;L48;PP;1;0.257;1.3
SM2;L48;PP;1;0.322;1.7
SM3;L48;PP;1;0.498;2.7
SM7;L48;PP;0.657143673;0.076;0.4
SM8;L48;PP;0.761929898;0.187;-1
SM1;L49;PP;1;0.851;6.2
SM2;L49;PP;1;0.848;6.2
SM3;L49;PP;1;0.794;5.4
SM7;L49;PP;0.837710779;0.14;0.8
SM8;L49;PP;0.616409222;0.178;-1
SM1;L50;PP;0.220729403;0.674;-4.1
SM2;L50;PP;1;0.995;-14.8
SM3;L50;PP;1;0.731;-4.6
SM7;L50;PP;0.478442144;0.196;-1.1
SM8;L50;PP;0.291204698;0.139;0.8
SM1;L51;PP;1;0.941;8.7
SM2;L51;PP;1;0.747;4.8
SM3;L51;PP;1;0.874;6.7
SM7;L51;PP;1;0.046;0.2
SM8;L51;PP;0.999302368;0.149;-0.8
SM1;L52;PP;0.654025101;0.529;2.9
SM2;L52;PP;0.8019428;0.519;2.9
SM3;L52;PP;1;0.497;2.7
SM7;L52;PP;0.437330744;0.067;0.4
SM8;L52;PP;0.798770365;0.087;-0.5
SM1;L53;PP;0.251150988;0.167;0.8
SM2;L53;PP;1;0.025;-0.1
SM3;L53;PP;0.292033698;0.175;0.9
SM7;L53;PP;0.908706079;0.036;0.2
SM8;L53;PP;1;0.011;-0.1
SM1;L54;PP;0.490913315;0.474;-2.6
SM2;L54;PP;1;0.698;-4.3
SM3;L54;PP;1;0.524;-2.9
SM7;L54;PP;1;0.023;-0.1
SM8;L54;PP;1;0.198;1.1
SM1;L55;PP;1;0.995;14.8
SM2;L55;PP;0.935468899;0.995;14.8
SM3;L55;PP;1;0.995;14.8
SM7;L55;PP;0.389714033;0.514;3.1
SM8;L55;PP;1;0.562;3.4
SM1;L56;PP;1;0.885;-6.9
SM2;L56;PP;1;0.995;-14.8
SM3;L56;PP;0.84485327;0.885;-6.9
SM7;L56;PP;0.178190851;0.098;0.5
SM8;L56;PP;1;0.467;-2.7
SM1;L57;PN;0;0;0
SM2;L57;PN;0;0;0
SM3;L57;PN;0;0;0
SM7;L57;PN;0.098978095;0.083;0.4
SM8;L57;PN;0.856175851;0.014;0.1
SM1;L58;PP;0.030044295;0.556;3.1
SM2;L58;PP;0.047892278;0.995;-14.8
SM3;L58;PP;0.305608993;0.859;-6.4
SM7;L58;PP;1;0.793;-5.8
SM8;L58;PP;1;0.586;3.6
SM1;L59;PP;0.242531478;0.395;-2.1
SM2;L59;PP;1;0.876;-6.7
SM3;L59;PP;0.176162069;0.353;-1.8
SM7;L59;PP;0.945136513;0.012;0.1
SM8;L59;PP;1;0.012;-0.1
SM1;L60;Phosphoramidite;0.041115041;0.434;2.3
SM2;L60;Phosphoramidite;0.33703894;0.163;0.8
SM3;L60;Phosphoramidite;0.434483622;0.479;-2.6
SM7;L60;Phosphoramidite;0.052358554;0.099;-0.5
SM8;L60;Phosphoramidite;0.233250716;0.308;-1.7
SM1;L61;Phosphoramidite;0;0;0
SM2;L61;Phosphoramidite;0.074627046;0.431;2.3
SM3;L61;Phosphoramidite;0.067422295;0.41;2.2
SM7;L61;Phosphoramidite;0.951892225;0.368;2.1
SM8;L61;Phosphoramidite;0.752358245;0.071;-0.4
SM1;L62;Phosphoramidite;0.087750899;0.749;4.8
SM2;L62;Phosphoramidite;0.856307613;0.916;7.8
SM3;L62;Phosphoramidite;0.888128416;0.031;0.2
SM7;L62;Phosphoramidite;0.182531877;0.211;-1.2
SM8;L62;Phosphoramidite;0.228536598;0.318;1.8
SM1;L63;PP;1;0.649;-3.8
SM2;L63;PP;1;0.167;-0.8
SM3;L63;PP;1;0.805;-5.5
SM7;L63;PP;1;0.407;2.3
SM8;L63;PP;0.998967425;0.198;-1.1
SM1;L64;PP;0.981726235;0.993;-14
SM2;L64;PP;1;0.995;-14.8
SM3;L64;PP;1;0.995;-14.8
SM7;L64;PP;0.657206984;0.126;0.7
SM8;L64;PP;0.387009746;0.422;-2.4
SM1;L65;PP;0.674318223;0.866;6.5
SM2;L65;PP;1;0.775;5.1
SM3;L65;PP;1;0.914;7.7
SM7;L65;PP;0.121660863;0.093;0.5
SM8;L65;PP;1;0.37;-2.1
SM1;L66;PP;0.233241361;0.694;4.2
SM2;L66;PP;0.185234443;0.275;1.4
SM3;L66;PP;1;0.77;5.1
SM7;L66;PP;0.490927488;0.048;0.3
SM8;L66;PP;1;0.004;0
SM1;L67;PP;0.941578986;0.99;13.1
SM2;L67;PP;0.653343769;0.995;14.8
SM3;L67;PP;0.516176206;0.945;8.8
SM7;L67;PP;0.103433223;0.032;0.2
SM8;L67;PP;0.896850026;0.234;1.3
SM1;L68;PP;0.972885595;0.979;11.3
SM2;L68;PP;1;0.995;14.8
SM3;L68;PP;1;0.995;14.8
SM7;L68;PP;0.09451104;0.106;0.6
SM8;L68;PP;0.947915522;0.267;1.5
SM1;L69;PP;0.5120438;0.956;9.4
SM2;L69;PP;1;0.995;14.8
SM3;L69;PP;0.867472425;0.945;8.8
SM7;L69;PP;0.083225285;0.027;0.1
SM8;L69;PP;0.798512403;0.287;1.6
SM1;L70;PP;1;0.768;-5
SM2;L70;PP;1;0.995;-14.8
SM3;L70;PP;1;0.609;-3.5
SM7;L70;PP;1;0.644;4.1
SM8;L70;PP;1;0.184;-1
SM1;L71;PN;0;0;0
SM2;L71;PN;0;0;0
SM3;L71;PN;0;0;0
SM7;L71;PN;0.300449921;0.351;2
SM8;L71;PN;0.335524888;0.145;-0.8
SM1;L72;PN;0;0;0
SM2;L72;PN;0;0;0
SM3;L72;PN;0;0;0
SM7;L72;PN;0.14764605;0.025;0.1
SM8;L72;PN;0.232994048;0.011;-0.1
SM1;L73;PN;0;0;0
SM2;L73;PN;0;0;0
SM3;L73;PN;0;0;0
SM7;L73;PN;0.165359203;0.048;-0.3
SM8;L73;PN;0.233603705;0.132;-0.7
SM1;L74;PP;1;0.955;-9.3
SM2;L74;PP;1;0.819;-5.7
SM3;L74;PP;1;0.982;-11.7
SM7;L74;PP;1;0.178;-1
SM8;L74;PP;1;0.112;0.6
SM1;L75;PP;1;0.91;7.6
SM2;L75;PP;0.998460443;0.995;14.8
SM3;L75;PP;1;0.734;4.6
SM7;L75;PP;1;0.753;-5.3
SM8;L75;PP;1;0.196;1.1
SM1;L76;PP;1;0.211;1.1
SM2;L76;PP;1;0.386;2
SM3;L76;PP;1;0.168;0.8
SM7;L76;PP;1;0.411;2.3
SM8;L76;PP;1;0.535;-3.2
SM1;L77;PP;1;0.742;-4.7
SM2;L77;PP;1;0.568;-3.2
SM3;L77;PP;1;0.904;-7.4
SM7;L77;PP;0.7867932;0.493;2.9
SM8;L77;PP;1;0.221;-1.2
SM1;L78;PP;1;0.736;-4.7
SM2;L78;PP;1;0.858;-6.4
SM3;L78;PP;1;0.873;-6.7
SM7;L78;PP;0.10214798;0.096;0.5
SM8;L78;PP;1;0.189;1
SM1;L79;PP;1;0.699;4.3
SM2;L79;PP;1;0.395;2.1
SM3;L79;PP;1;0.651;3.9
SM7;L79;PP;1;0.186;-1
SM8;L79;PP;1;0.095;0.5
SM1;L80;PP;1;0.608;3.5
SM2;L80;PP;1;0.413;2.2
SM3;L80;PP;1;0.687;4.2
SM7;L80;PP;0.650319829;0.207;-1.1
SM8;L80;PP;1;0.564;-3.4
SM1;L81;PN;0;0;0
SM2;L81;PN;0;0;0
SM3;L81;PN;0;0;0
SM7;L81;PN;0.060056089;0.23;-1.3
SM8;L81;PN;0.015380246;0.071;-0.4
SM1;L82;PP;1;0.907;-7.5
SM2;L82;PP;1;0.858;-6.4
SM3;L82;PP;1;0.947;-8.9
SM7;L82;PP;1;0.701;-4.7
SM8;L82;PP;1;0.463;2.7
SM1;L83;P;0.208979;0.147;0.7
SM2;L83;P;0.086791059;0.012;-0.1
SM3;L83;P;0.246185423;0.14;-0.7
SM7;L83;P;0.996293094;0.48;2.8
SM8;L83;P;1;0.079;-0.4
SM1;L84;PP;1;0.995;-14.8
SM2;L84;PP;1;0.995;-14.8
SM3;L84;PP;1;0.99;-13.1
SM7;L84;PP;0.33568755;0.21;-1.1
SM8;L84;PP;1;0.237;-1.3
SM1;L85;PP;1;0.165;0.8
SM2;L85;PP;1;0.622;3.6
SM3;L85;PP;1;0.215;1.1
SM7;L85;PP;1;0.501;3
SM8;L85;PP;1;0.408;-2.3
SM1;L86;PP;0.931082716;0.174;0.9
SM2;L86;PP;0.911446984;0.507;-2.8
SM3;L86;PP;0.864943501;0.238;1.2
SM7;L86;PP;1;0.611;3.8
SM8;L86;PP;1;0.522;-3.1
SM1;L87;PP;0.273336692;0.69;-4.2
SM2;L87;PP;1;0.995;-14.8
SM3;L87;PP;0.296710675;0.765;-5
SM7;L87;PP;1;0.52;-3.1
SM8;L87;PP;1;0.385;-2.2
SM1;L88;PP;0;0;0
SM2;L88;PP;0;0;0
SM3;L88;PP;0;0;0
SM7;L88;PP;0.667705899;0.209;1.1
SM8;L88;PP;0.460935041;0.117;0.6
SM1;L89;PP;0.526516472;0.241;1.2
SM2;L89;PP;1;0.251;1.3
SM3;L89;PP;1;0.181;0.9
SM7;L89;PP;0.612750058;0.106;0.6
SM8;L89;PP;0.892760252;0.167;-0.9
SM1;L90;PP;0.766509206;0.29;1.5
SM2;L90;PP;0.345657526;0.101;-0.5
SM3;L90;PP;0.026963015;0.199;1
SM7;L90;PP;0.214402294;0.072;0.4
SM8;L90;PP;1;0.023;-0.1
SM1;L91;PP;0.051267043;0.133;-0.7
SM2;L91;PP;0.178037221;0.327;-1.7
SM3;L91;PP;0.042385973;0.344;1.8
SM7;L91;PP;0.013914972;0.262;1.4
SM8;L91;PP;0.224878589;0.036;0.2
SM1;L92;PP;0.137421908;0.156;0.8
SM2;L92;PP;0.100428349;0.189;0.9
SM3;L92;PP;0.022610311;0.293;1.5
SM7;L92;PP;0.041057702;0.078;0.4
SM8;L92;PP;0.546494354;0.002;0
SM1;L93;PP;0.089779711;0.159;-0.8
SM2;L93;PP;0.139227311;0.034;-0.2
SM3;L93;PP;0.044801677;0.055;-0.3
SM7;L93;PP;0.035741859;0.079;0.4
SM8;L93;PP;0.381946309;0.043;-0.2
SM1;L94;PP;0.228945694;0.075;-0.4
SM2;L94;PP;0.761722404;0.272;-1.4
SM3;L94;PP;0.091787849;0.331;-1.7
SM7;L94;PP;0.207764847;0.019;0.1
SM8;L94;PP;1;0.019;0.1
SM1;L95;PP;0.964105656;0.866;6.5
SM2;L95;PP;1;0.53;2.9
SM3;L95;PP;1;0.927;8.1
SM7;L95;PP;0.983082326;0.409;-2.3
SM8;L95;PP;1;0.275;1.5
SM1;L96;PP;1;0.73;4.6
SM2;L96;PP;1;0.33;1.7
SM3;L96;PP;1;0.922;7.9
SM7;L96;PP;0.988225069;0.744;-5.2
SM8;L96;PP;1;0.367;2.1
SM1;L97;PP;1;0.138;-0.7
SM2;L97;PP;1;0.05;-0.2
SM3;L97;PP;1;0.192;-1
SM7;L97;PP;1;0.739;-5.1
SM8;L97;PP;1;0.558;-3.4
SM1;L98;PP;1;0.877;-6.8
SM2;L98;PP;0.99697531;0.871;-6.6
SM3;L98;PP;1;0.931;-8.3
SM7;L98;PP;0.303747429;0.024;-0.1
SM8;L98;PP;1;0.24;-1.3
SM1;L99;PN;0;0;0
SM2;L99;PN;0;0;0
SM3;L99;PN;0.022433622;0.995;-14.8
SM7;L99;PN;0.257249297;0.1;0.5
SM8;L99;PN;0.424863486;0.567;-3.5
SM1;L100;PP;0.045568542;0.028;0.1
SM2;L100;PP;1;0.38;2
SM3;L100;PP;0.994231998;0.276;-1.4
SM7;L100;PP;1;0.362;-2
SM8;L100;PP;1;0.732;-5
SM1;L101;PP;0.022799643;0.086;-0.4
SM2;L101;PP;1;0.027;-0.1
SM3;L101;PP;0.130264068;0.154;-0.8
SM7;L101;PP;1;0.05;0.3
SM8;L101;PP;1;0.017;0.1
SM1;L102;PP;0.340740308;0.837;-6
SM2;L102;PP;0.745983522;0.855;-6.3
SM3;L102;PP;0.990044418;0.912;-7.6
SM7;L102;PP;0.72592497;0.141;-0.8
SM8;L102;PP;1;0.591;-3.6
SM1;L103;PP;0;0;0
SM2;L103;PP;0.256069469;0.05;-0.2
SM3;L103;PP;0.278150649;0.273;-1.4
SM7;L103;PP;1;0.071;0.4
SM8;L103;PP;1;0.766;-5.4
SM1;L104;Phosphoramidite;0.185274626;0.817;-5.7
SM2;L104;Phosphoramidite;0.996236412;0.934;-8.4
SM3;L104;Phosphoramidite;0.969174012;0.453;-2.4
SM7;L104;Phosphoramidite;0.399783106;0.231;1.3
SM8;L104;Phosphoramidite;0.473114618;0.245;-1.3
SM1;L105;PN;0;0;0
SM2;L105;PN;0.704812415;0.757;-4.9
SM3;L105;PN;0.181091725;0.204;-1
SM7;L105;PN;0.629594006;0.28;1.5
SM8;L105;PN;0.560716854;0.117;0.6
SM1;L106;PP;0.456584863;0.867;6.5
SM2;L106;PP;1;0.886;7
SM3;L106;PP;0.992953167;0.83;5.9
SM7;L106;PP;0.52624992;0.113;0.6
SM8;L106;PP;0.352808136;0.147;0.8
SM1;L107;PN;0;0;0
SM2;L107;PN;0.378986933;0.061;-0.3
SM3;L107;PN;0.039828757;0.174;0.9
SM7;L107;PN;0.861101711;0.04;0.2
SM8;L107;PN;1;0.026;-0.1
SM1;L108;PP;1;0.842;-6.1
SM2;L108;PP;1;0.8;-5.4
SM3;L108;PP;0.985836052;0.885;-6.9
SM7;L108;PP;0.192431189;0.089;0.5
SM8;L108;PP;1;0.075;-0.4
SM1;L109;P;0;0;0
SM2;L109;P;0.133075423;0.536;3
SM3;L109;P;0.023574639;0.191;-1
SM7;L109;P;0.550321606;0.002;0
SM8;L109;P;1;0.14;0.8
SM1;L110;PP;1;0.995;-14.8
SM2;L110;PP;1;0.995;-14.8
SM3;L110;PP;0.980769977;0.987;-12.5
SM7;L110;PP;0.690141772;0.232;1.3
SM8;L110;PP;1;0.245;-1.3
SM1;L111;PP;0.215853749;0.995;14.8
SM2;L111;PP;0.085734813;0.995;14.8
SM3;L111;PP;0.981322981;0.941;8.7
SM7;L111;PP;0.37140337;0.058;0.3
SM8;L111;PP;0.916902962;0.05;0.3
SM1;L112;PP;0.264606267;0.024;-0.1
SM2;L112;PP;0.997123722;0.115;0.6
SM3;L112;PP;1;0.068;-0.3
SM7;L112;PP;1;0.225;1.2
SM8;L112;PP;1;0.109;-0.6
SM1;L113;PP;0.893874588;0.984;11.9
SM2;L113;PP;0.672627545;0.995;14.8
SM3;L113;PP;1;0.921;7.9
SM7;L113;PP;0.126466162;0.124;-0.7
SM8;L113;PP;0.770647564;0.506;-3
SM1;L114;PN;0;0;0
SM2;L114;PN;0.635435235;0.703;4.3
SM3;L114;PN;0.074160265;0.327;1.7
SM7;L114;PN;0.75562691;0.081;-0.4
SM8;L114;PN;0.647503825;0.094;-0.5
SM1;L115;PN;0;0;0
SM2;L115;PN;0.132291601;0.56;-3.1
SM3;L115;PN;0.085762823;0.233;-1.2
SM7;L115;PN;0.951119676;0.139;0.8
SM8;L115;PN;1;0.043;0.2
SM1;L116;P(P=O);0;0;0
SM2;L116;P(P=O);1;0.038;-0.2
SM3;L116;P(P=O);0.013179001;0.163;-0.8
SM7;L116;P(P=O);0.993269818;0.064;0.3
SM8;L116;P(P=O);1;0.012;0.1
SM1;L117;P;0.562663649;0.506;2.8
SM2;L117;P;1;0.62;3.6
SM3;L117;P;0.980653747;0.5;2.7
SM7;L117;P;1;0.231;1.3
SM8;L117;P;1;0.178;-1
SM1;L118;PP;1;0.187;-0.9
SM2;L118;PP;1;0.052;-0.3
SM3;L118;PP;1;0.492;-2.7
SM7;L118;PP;1;0.479;2.8
SM8;L118;PP;1;0.341;1.9
SM1;L119;PP;0.096466812;0.431;-2.3
SM2;L119;PP;1;0.305;-1.6
SM3;L119;PP;0.990617876;0.64;-3.8
SM7;L119;PP;1;0.406;2.3
SM8;L119;PP;1;0.184;1
SM1;L120;PP;0.026558676;0.214;1.1
SM2;L120;PP;1;0.638;3.7
SM3;L120;PP;0.71306302;0.538;3
SM7;L120;PP;0.315148394;0.035;-0.2
SM8;L120;PP;0.372883707;0.022;0.1
SM1;L121;PP;0.832989431;0.834;6
SM2;L121;PP;0.997727667;0.933;8.3
SM3;L121;PP;1;0.637;3.7
SM7;L121;PP;0.413878535;0.046;-0.2
SM8;L121;PP;1;0.272;-1.5
SM1;L122;PP;0.341830349;0.461;2.5
SM2;L122;PP;1;0.448;2.4
SM3;L122;PP;1;0.353;1.8
SM7;L122;PP;0.853938073;0.201;1.1
SM8;L122;PP;0.968394485;0.25;1.4
SM1;L123;Phosphoramidite;0.179393842;0.934;8.4
SM2;L123;Phosphoramidite;1;0.971;10.5
SM3;L123;Phosphoramidite;0.867538838;0.853;6.3
SM7;L123;Phosphoramidite;0.622874796;0.023;0.1
SM8;L123;Phosphoramidite;0.084661274;0.003;0
SM1;L124;Phosphoramidite;0;0;0
SM2;L124;Phosphoramidite;0.087447617;0.312;1.6
SM3;L124;Phosphoramidite;0.795042112;0.233;-1.2
SM7;L124;Phosphoramidite;0.920139772;0.26;-1.4
SM8;L124;Phosphoramidite;0.369397951;0.07;-0.4
SM1;L125;PP;0;0;0
SM2;L125;PP;1;0.327;-1.7
SM3;L125;PP;0.802327984;0.073;-0.4
