Substrate;Ligand#;Class;Conversion;EE;DDG
SM7;L125;PP;0.384409005;0.025;-0.1
SM8;L125;PP;1;0.216;-1.2
SM1;L126;PP;0.029042922;0.304;1.6
SM2;L126;PP;0.535976869;0.475;-2.6
SM3;L126;PP;0.346298776;0.016;-0.1
SM7;L126;PP;0.998270846;0.274;-1.5
SM8;L126;PP;1;0.325;1.8
SM1;L127;PN;0;0;0
SM2;L127;PN;0;0;0
SM3;L127;PN;0;0;0
SM7;L127;PN;0.729804142;0.316;1.8
SM8;L127;PN;0.222034621;0.13;-0.7
SM1;L128;PP;1;0.017;-0.1
SM2;L128;PP;1;0.683;-4.1
SM3;L128;PP;0.988544112;0.146;-0.7
SM7;L128;PP;1;0.627;-4
SM8;L128;PP;1;0.449;-2.6
SM1;L129;PP;0;0;0
SM2;L129;PP;1;0.573;-3.2
SM3;L129;PP;1;0.29;-1.5
SM7;L129;PP;0.417333138;0.047;-0.3
SM8;L129;PP;1;0.074;-0.4
SM1;L130;PP;1;0.877;6.8
SM2;L130;PP;1;0.868;6.6
SM3;L130;PP;1;0.764;5
SM7;L130;PP;0.865790276;0.104;0.6
SM8;L130;PP;0.828291893;0.105;0.6
SM1;L131;P;0.062641833;0.685;4.2
SM2;L131;P;0.018883726;0.995;14.8
SM3;L131;P;0.040317233;0.147;-0.7
SM7;L131;P;0.794698274;0.457;-2.7
SM8;L131;P;1;0.476;2.8
SM1;L132;Phosphoramidite;0.074798716;0.796;5.4
SM2;L132;Phosphoramidite;0.448496888;0.782;5.2
SM3;L132;Phosphoramidite;0.84952256;0.229;1.2
SM7;L132;Phosphoramidite;0.362536975;0.161;-0.9
SM8;L132;Phosphoramidite;0.28209602;0.242;1.3
SM1;L133;PP;1;0.903;7.4
SM2;L133;PP;1;0.987;12.5
SM3;L133;PP;1;0.718;4.5
SM7;L133;PP;1;0.522;-3.1
SM8;L133;PP;1;0.011;-0.1
SM1;L134;PP;0.459327483;0.755;4.9
SM2;L134;PP;0.995903175;0.988;12.7
SM3;L134;PP;0.992612827;0.667;4
SM7;L134;PP;0.99120523;0.224;1.2
SM8;L134;PP;1;0.294;1.6
SM1;L135;Phosphoramidite;0.035104087;0.995;-14.8
SM2;L135;Phosphoramidite;1;0.974;-10.7
SM3;L135;Phosphoramidite;0.963274011;0.88;-6.8
SM7;L135;Phosphoramidite;0.65152189;0.358;2
SM8;L135;Phosphoramidite;0.282586084;0.106;-0.6
SM1;L136;PP;0.297752444;0.592;3.4
SM2;L136;PP;0.995693596;0.651;3.9
SM3;L136;PP;1;0.627;3.7
SM7;L136;PP;1;0.486;2.9
SM8;L136;PP;1;0.058;0.3
SM1;L137;PP;0.20121084;0.39;2
SM2;L137;PP;0.998115929;0.711;4.4
SM3;L137;PP;1;0.566;3.2
SM7;L137;PP;1;0.446;2.6
SM8;L137;PP;1;0.054;0.3
SM1;L138;PP;0.706355479;0.896;7.2
SM2;L138;PP;1;0.952;9.2
SM3;L138;PP;0.990391324;0.897;7.2
SM7;L138;PP;0.999080355;0.31;-1.7
SM8;L138;PP;1;0.382;-2.2
SM1;L139;PP;0.568554325;0.948;9
SM2;L139;PP;1;0.957;9.5
SM3;L139;PP;1;0.844;6.1
SM7;L139;PP;0.538112412;0.521;3.1
SM8;L139;PP;1;0.193;1.1
SM1;L140;PN;0;0;0
SM2;L140;PN;0;0;0
SM3;L140;PN;0.017020961;0.241;1.2
SM7;L140;PN;0.262947258;0.098;0.5
SM8;L140;PN;0.357653938;0.068;-0.4
SM1;L141;PP;0.288485727;0.957;-9.5
SM2;L141;PP;1;0.975;-10.8
SM3;L141;PP;0.989912346;0.952;-9.2
SM7;L141;PP;1;0.174;-0.9
SM8;L141;PP;1;0.24;-1.3
SM1;L142;P;0;0;0
SM2;L142;P;0.20150886;0.427;2.3
SM3;L142;P;0.014131107;0.995;-14.8
SM7;L142;P;0.153409433;0.109;0.6
SM8;L142;P;0.122009533;0.043;-0.2
SM1;L143;PP;1;0.889;-7
SM2;L143;PP;1;0.552;-3.1
SM3;L143;PP;1;0.919;-7.8
SM7;L143;PP;0.998818025;0.379;2.1
SM8;L143;PP;1;0.232;1.3
SM1;L144;Phosphoramidite;0.168794816;0.824;5.8
SM2;L144;Phosphoramidite;0.476016239;0.771;5.1
SM3;L144;Phosphoramidite;0.645245514;0.326;1.7
SM7;L144;Phosphoramidite;0.163532437;0.061;-0.3
SM8;L144;Phosphoramidite;0.310722314;0.288;1.6
SM1;L145;PP;1;0.107;-0.5
SM2;L145;PP;1;0.083;-0.4
SM3;L145;PP;1;0.469;-2.5
SM7;L145;PP;1;0.424;2.4
SM8;L145;PP;1;0.269;1.5
SM1;L146;PN;0;0;0
SM2;L146;PN;0;0;0
SM3;L146;PN;0.05431555;0.12;-0.6
SM7;L146;PN;0.529837678;0.074;0.4
SM8;L146;PN;1;0.014;0.1
SM1;L147;PP;0.02897615;0.154;0.8
SM2;L147;PP;0.914573603;0.31;1.6
SM3;L147;PP;0.983199691;0.532;2.9
SM7;L147;PP;0.607690375;0.06;0.3
SM8;L147;PP;0.451312928;0.079;0.4
SM1;L148;Phosphoramidite;0;0;0
SM2;L148;Phosphoramidite;0;0;0
SM3;L148;Phosphoramidite;0.030753358;0.105;0.5
SM7;L148;Phosphoramidite;0.107657375;0.132;0.7
SM8;L148;Phosphoramidite;0.030137199;0.179;1
SM1;L149;PP;0.138992325;0.42;2.2
SM2;L149;PP;0.996556882;0.542;3
SM3;L149;PP;0.992694962;0.584;3.3
SM7;L149;PP;0.693798804;0.153;0.8
SM8;L149;PP;0.896692628;0.119;0.6
SM1;L150;PNS;0;0;0
SM2;L150;PNS;0;0;0
SM3;L150;PNS;0.024033305;0.012;-0.1
SM7;L150;PNS;0.214655425;0.18;1
SM8;L150;PNS;0.305030887;0.146;-0.8
SM1;L151;PN;0;0;0
SM2;L151;PN;0;0;0
SM3;L151;PN;0;0;0
SM7;L151;PN;0.557145447;0.265;-1.5
SM8;L151;PN;0.310340863;0.021;-0.1
SM1;L152;PN;0;0;0
SM2;L152;PN;0;0;0
SM3;L152;PN;0;0;0
SM7;L152;PN;0.348250676;0.255;1.4
SM8;L152;PN;0.007876671;0.135;-0.7
SM1;L153;PP;0.720056976;0.955;9.3
SM2;L153;PP;1;0.951;9.1
SM3;L153;PP;0.976781272;0.938;8.5
SM7;L153;PP;0.905309852;0.32;1.8
SM8;L153;PP;1;0.121;-0.7
SM1;L154;PN;0;0;0
SM2;L154;PN;0;0;0
SM3;L154;PN;0.030436924;0.187;-0.9
SM7;L154;PN;0.317873787;0.06;0.3
SM8;L154;PN;0.301920878;0;0
SM1;L155;PP;0.96696692;0.404;2.1
SM2;L155;PP;1;0.08;0.4
SM3;L155;PP;0.985465139;0.683;4.1
SM7;L155;PP;0.551536777;0.049;0.3
SM8;L155;PP;1;0.175;-1
SM1;L156;PP;0.46927748;0.328;-1.7
SM2;L156;PP;0.996829084;0.391;-2
SM3;L156;PP;1;0.403;-2.1
SM7;L156;PP;0.995203615;0.272;1.5
SM8;L156;PP;1;0.397;2.3
SM1;L157;PP;0.074222288;0.911;-7.6
SM2;L157;PP;0.997309043;0.967;-10.1
SM3;L157;PP;0.989200073;0.873;-6.7
SM7;L157;PP;1;0.013;-0.1
SM8;L157;PP;1;0.436;-2.5
SM1;L158;PNN;0;0;0
SM2;L158;PNN;0;0;0
SM3;L158;PNN;0.012572414;0.995;-14.8
SM7;L158;PNN;0.080072063;0.148;0.8
SM8;L158;PNN;0.034599809;0.004;0
SM1;L159;PN;0.959619777;0.79;5.3
SM2;L159;PN;1;0.813;5.6
SM3;L159;PN;0.991734214;0.72;4.5
SM7;L159;PN;0.869342264;0.083;0.4
SM8;L159;PN;1;0.073;-0.4
SM1;L160;PN;0.239343757;0.555;3.1
SM2;L160;PN;1;0.325;1.7
SM3;L160;PN;1;0.513;2.8
SM7;L160;PN;0.752551503;0.064;0.3
SM8;L160;PN;1;0.006;0
SM1;L161;PN;0;0;0
SM2;L161;PN;0;0;0
SM3;L161;PN;0.035439212;0.173;-0.9
SM7;L161;PN;0.369378777;0.105;0.6
SM8;L161;PN;0.880955084;0.011;0.1
SM1;L162;PN;0.042607542;0.099;0.5
SM2;L162;PN;0.978380638;0.031;-0.2
SM3;L162;PN;0.085065352;0.022;-0.1
SM7;L162;PN;0.891701181;0.071;0.4
SM8;L162;PN;1;0.006;0
SM1;L163;PP;0.954433169;0.764;5
SM2;L163;PP;1;0.499;2.7
SM3;L163;PP;0.98009897;0.858;6.4
SM7;L163;PP;0.956798328;0.382;-2.2
SM8;L163;PP;1;0.329;-1.8
SM1;L164;PP;0;0;0
SM2;L164;PP;1;0.174;-0.9
SM3;L164;PP;0.047291638;0.204;-1
SM7;L164;PP;1;0.153;-0.8
SM8;L164;PP;1;0.29;1.6
SM1;L165;PP;0.058806083;0.006;0
SM2;L165;PP;0.997140728;0.089;-0.4
SM3;L165;PP;0.980163577;0.287;-1.5
SM7;L165;PP;0.399565861;0.065;0.3
SM8;L165;PP;1;0.302;1.7
SM1;L166;PN;0;0;0
SM2;L166;PN;0.105434598;0.068;-0.3
SM3;L166;PN;0.03084621;0.256;-1.3
SM7;L166;PN;0.184174202;0.024;0.1
SM8;L166;PN;0.180884654;0.109;-0.6
SM1;L167;PP;0.837931666;0.958;-9.5
SM2;L167;PP;1;0.988;-12.7
SM3;L167;PP;0.986026284;0.932;-8.3
SM7;L167;PP;0.450180931;0.031;-0.2
SM8;L167;PP;0.195949653;0.182;1
SM1;L168;P;0.055279367;0.995;14.8
SM2;L168;P;0;0;0
SM3;L168;P;0.026712734;0.346;-1.8
SM7;L168;P;1;0.461;2.7
SM8;L168;P;1;0.541;3.3
SM1;L169;PP;1;0.04;-0.2
SM2;L169;PP;1;0.051;0.3
SM3;L169;PP;1;0.281;-1.4
SM7;L169;PP;1;0.037;0.2
SM8;L169;PP;1;0.113;-0.6
SM1;L170;PN;0.024712623;0.995;14.8
SM2;L170;PN;1;0.97;10.4
SM3;L170;PN;0.969748738;0.906;7.5
SM7;L170;PN;0.504272547;0.024;0.1
SM8;L170;PN;0.197001891;0.269;-1.5
SM1;L171;PP;0.367601269;0.201;1
SM2;L171;PP;0.995508792;0.745;4.8
SM3;L171;PP;1;0.281;1.4
SM7;L171;PP;1;0.579;3.6
SM8;L171;PP;1;0.356;2
SM1;L172;PP;0.055977522;0.009;0
SM2;L172;PP;0.059970494;0.995;-14.8
SM3;L172;PP;0.057246029;0.139;-0.7
SM7;L172;PP;0.468810575;0.215;-1.2
SM8;L172;PP;0.904983192;0.244;1.3
SM1;L173;PN;0.027954697;0.995;14.8
SM2;L173;PN;0.085384929;0.094;-0.5
SM3;L173;PN;0.14661356;0.736;4.7
SM7;L173;PN;0.427024844;0.131;0.7
SM8;L173;PN;0.105762928;0.007;0
SM1;L174;P(P=O);0.020518421;0.259;1.3
SM2;L174;P(P=O);0.749248656;0.009;0
SM3;L174;P(P=O);0.269297121;0.108;-0.5
SM7;L174;P(P=O);1;0.084;0.5
SM8;L174;P(P=O);1;0.217;-1.2
SM1;L175;PP;0;0;0
SM2;L175;PP;0;0;0
SM3;L175;PP;0.031089985;0.651;-3.9
SM7;L175;PP;1;0.062;-0.3
SM8;L175;PP;1;0.056;-0.3
SM1;L176;PP;0;0;0
SM2;L176;PP;0;0;0
SM3;L176;PP;0;0;0
SM7;L176;PP;0.991910146;0.579;3.6
SM8;L176;PP;0.262861965;0.388;2.2
SM1;L177;Phosphoramidite;0.04004214;0.462;-2.5
SM2;L177;Phosphoramidite;0.976184826;0.894;-7.1
SM3;L177;Phosphoramidite;0.483817976;0.34;-1.8
SM7;L177;Phosphoramidite;0.444024605;0.06;0.3
SM8;L177;Phosphoramidite;0.8994002;0.128;-0.7
SM1;L178;PP;0.59981275;0.198;-1
SM2;L178;PP;0.998258592;0.191;-1
SM3;L178;PP;0.991192469;0.254;-1.3
SM7;L178;PP;0.558194061;0.12;0.6
SM8;L178;PP;0.811788178;0.107;0.6
SM1;L179;PN;0;0;0
SM2;L179;PN;0;0;0
SM3;L179;PN;0.035519666;0.08;-0.4
SM7;L179;PN;0.342348578;0.069;0.4
SM8;L179;PN;0.893758932;0.006;0
SM1;L180;PP;0.355501293;0.385;2
SM2;L180;PP;0.995153499;0.541;3
SM3;L180;PP;0.98865647;0.213;1.1
SM7;L180;PP;0.267751401;0.069;0.4
SM8;L180;PP;1;0.3;1.7
SM1;L181;PP;0.939306578;0.578;3.3
SM2;L181;PP;0.994447001;0.629;3.7
SM3;L181;PP;1;0.158;0.8
SM7;L181;PP;0.442725203;0.075;0.4
SM8;L181;PP;0.73883452;0.115;-0.6
SM1;L182;PP;0.077961992;0.239;1.2
SM2;L182;PP;0.99539453;0.478;2.6
SM3;L182;PP;0.438674357;0.225;-1.1
SM7;L182;PP;0.841842789;0.551;3.3
SM8;L182;PP;0.134069212;0.226;1.2
SM1;L183;PP;1;0.03;-0.1
SM2;L183;PP;1;0.009;0
SM3;L183;PP;0.987073612;0.128;0.6
SM7;L183;PP;0.758067816;0.12;0.6
SM8;L183;PP;1;0.548;3.3
SM1;L184;PN;0.057322611;0.092;0.5
SM2;L184;PN;1;0.042;-0.2
SM3;L184;PN;0.388246512;0.116;0.6
SM7;L184;PN;0.853149092;0.029;-0.2
SM8;L184;PN;1;0.12;-0.6
SM1;L185;P;0.09490689;0.215;-1.1
SM2;L185;P;0.167654397;0.335;1.7
SM3;L185;P;0.045749979;0.36;-1.9
SM7;L185;P;0.159951457;0.366;-2.1
SM8;L185;P;0.193836729;0.381;2.2
SM1;L186;P;0;0;0
SM2;L186;P;0;0;0
SM3;L186;P;0.006726443;0.245;1.2
SM7;L186;P;0.050371003;0.062;-0.3
SM8;L186;P;0.001995439;0.995;14.8
SM1;L187;PP;1;0.81;-5.6
SM2;L187;PP;1;0.829;-5.9
SM3;L187;PP;0.984963362;0.811;-5.6
SM7;L187;PP;0.555305205;0.012;0.1
SM8;L187;PP;0.711227594;0.154;-0.8
SM1;L188;PP;0.6809063;0.56;3.1
SM2;L188;PP;0.997765503;0.273;1.4
SM3;L188;PP;0.987369672;0.336;1.7
SM7;L188;PP;1;0.414;2.4
SM8;L188;PP;1;0.155;-0.8
SM1;L189;PP;1;0.178;0.9
SM2;L189;PP;1;0.037;0.2
SM3;L189;PP;1;0.306;-1.6
SM7;L189;PP;1;0.177;1
SM8;L189;PP;1;0.477;-2.8
SM1;L190;P;0.070334279;0.143;0.7
SM2;L190;P;1;0.031;-0.2
SM3;L190;P;0.101777045;0.004;0
SM7;L190;P;0.971569853;0.091;0.5
SM8;L190;P;1;0.04;-0.2
SM1;L191;PP;0;0;0
SM2;L191;PP;0;0;0
SM3;L191;PP;0.044260115;0.082;-0.4
SM7;L191;PP;1;0.357;-2
SM8;L191;PP;1;0.451;-2.6
SM1;L192;P;0.022588548;0.995;14.8
SM2;L192;P;0;0;0
SM3;L192;P;0.057902185;0.242;-1.2
SM7;L192;P;1;0.586;-3.6
SM8;L192;P;1;0.095;0.5
